"","Team","Gm","season","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%","HSCF%","HSC+/-","HSCF","HSCA","HSCF60","HSCA60","HSCP60","SCF%","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","CF%","C+/-","CF","CA","CF60","CA60","CP60","FF%","F+/-","FF60","FA60","FF","FA","FP60","MSF","MSA","BSF","BSA","SF%","S+/-","SF60","SA60","SF","SA","GF60","GA60","GF%","OSh%","OFenSh%","OSv%","OCOn%","OFOn%","FO%","FO_W","FO_L","ZSO","ZSN","ZSD","HIT","HIT-","PN","PN-","PenD","TOI"
"14","BUF",2,"20152016",1,6,-5,51.5,95.8,71.9,2.2,87.2,47.8,89.4,43.8,50,0,18,18,10.5,10.5,20.9,57,13,53,40,30.8,23.2,54,51.5,5,85,80,49.4,46.5,95.8,49.6,-1,37.2,37.7,64,65,74.9,18,18,21,15,49.5,-1,26.7,27.3,46,47,0.6,3.5,14.3,2.2,1.6,87.2,54.1,71.9,47.8,54,59,28,49,36,39,32,3,4,1,103.3
"15","EDM",2,"20152016",0,4,-4,50,105.9,76.8,0,91.5,47.4,91.5,50,43.3,-4,13,17,8.5,11.1,19.6,48.1,-3,37,40,24.2,26.1,50.3,50,0,81,81,52.9,52.9,105.9,48.7,-3,36.6,38.6,56,59,75.2,13,12,25,22,47.8,-4,28.1,30.7,43,47,0,2.6,0,0,0,91.5,53.1,76.8,47.4,45,50,31,33,31,24,48,5,8,3,91.8
"16","T.B",2,"20152016",5,2,3,49.7,95.4,70.1,10.6,94.4,45.2,105.1,47.1,63.6,9,21,12,12.8,7.3,20,49.4,-1,40,41,24.3,24.9,49.2,49.7,-1,78,79,47.4,48,95.4,54.9,12,40.7,33.4,67,55,74.1,20,19,11,24,56.6,11,28.6,21.9,47,36,3,1.2,71.4,10.6,7.5,94.4,60.3,70.1,45.2,42,51,24,42,27,35,51,3,4,1,98.8
"17","WSH",1,"20152016",2,1,1,47.1,91.2,65,15.4,94.1,59.6,109.5,60,66.7,3,6,3,8,4,12.1,48.4,-1,15,16,20.1,21.5,41.6,47.1,-4,32,36,42.9,48.3,91.2,46.5,-3,26.8,30.9,20,23,57.7,7,6,12,13,43.3,-4,17.4,22.8,13,17,2.7,1.3,66.7,15.4,10,94.1,40.6,65,59.6,28,19,15,22,10,22,32,1,3,2,44.7
"18","N.J",2,"20152016",1,4,-3,47.6,81.9,70.5,3.2,88.9,48.3,92.1,46.9,33.3,-5,5,10,3.3,6.6,9.9,46.4,-4,26,30,17.2,19.8,37,47.6,-6,59,65,38.9,42.9,81.9,47.3,-5,29,32.3,44,49,61.4,13,13,15,16,46.3,-5,20.5,23.8,31,36,0.7,2.6,20,3.2,2.3,88.9,52.5,70.5,48.3,42,45,23,38,26,47,40,7,2,-5,90.9
"19","VAN",2,"20152016",6,2,4,47.1,116.3,75.7,10.7,96.5,51.9,107.2,39.2,51.3,1,20,19,12.2,11.6,23.7,47.4,-5,46,51,28,31.1,59.1,47.1,-11,90,101,54.8,61.5,116.3,50.7,2,45.1,43.8,74,72,88.9,18,15,16,29,49.6,-1,34.1,34.7,56,57,3.7,1.2,75,10.7,8.1,96.5,62.2,75.7,51.9,56,52,29,34,45,30,50,5,9,4,98.5
"20","CHI",3,"20152016",6,4,2,48.1,112.2,75.2,7.6,95,45.6,102.6,43,41.8,-9,23,32,9.1,12.6,21.7,47.2,-7,60,67,23.6,26.4,50,48.1,-11,137,148,53.9,58.3,112.2,47.5,-11,41.3,45.7,105,116,87,26,36,32,32,49.7,-1,31.1,31.5,79,80,2.4,1.6,60,7.6,5.7,95,57.7,75.2,45.6,67,80,40,54,53,75,129,3,5,2,152.4
"21","FLA",1,"20152016",4,0,4,41.7,97.6,91.7,18.2,100,50,118.2,50,31.2,-6,5,11,6.8,14.9,21.7,39.4,-7,13,20,17.6,27.1,44.7,41.7,-12,30,42,40.7,56.9,97.6,42.1,-9,32.5,44.7,24,33,77.3,2,7,6,9,45.8,-4,29.8,35.2,22,26,5.4,0,100,18.2,16.7,100,73.3,91.7,50,25,25,14,22,14,26,35,4,7,3,44.3
"22","ANA",1,"20152016",0,2,-2,44.3,133.7,64.9,0,95.1,59.3,95.1,45.9,37.9,-7,11,18,12.1,19.7,31.8,42.4,-9,25,34,27.4,37.3,64.7,44.3,-14,54,68,59.2,74.5,133.7,42.5,-13,40.6,54.8,37,50,95.4,13,9,17,18,36.9,-17,26.3,44.9,24,41,0,2.2,0,0,0,95.1,44.4,64.9,59.3,32,22,17,17,20,22,31,1,1,0,54.7
"23","BOS",2,"20152016",3,7,-4,45.7,107.5,63.3,7.9,87.9,46.3,95.8,50.9,41.9,-7,18,25,11.2,15.5,26.7,44.1,-12,45,57,28,35.4,63.4,45.7,-15,79,94,49.1,58.4,107.5,43.5,-18,37.3,48.5,60,78,85.7,22,20,19,16,39.6,-20,23.6,36,38,58,1.9,4.3,30,7.9,5,87.9,48.1,63.3,46.3,44,51,29,38,28,59,44,7,6,-1,96.6
"24","PIT",2,"20152016",1,3,-2,45.6,127.5,71,2.3,91.9,52.7,94.2,46.9,35.7,-12,15,27,10.6,19.1,29.8,38.2,-24,39,63,27.6,44.6,72.3,45.6,-16,82,98,58.1,69.4,127.5,48.1,-5,43.9,47.5,62,67,91.4,18,30,20,31,54.3,7,31.2,26.2,44,37,0.7,2.1,25,2.3,1.6,91.9,53.7,71,52.7,49,44,30,29,34,38,41,6,8,2,84.7
"25","NSH",2,"20152016",3,0,3,44.7,98.2,78.3,8.3,100,40.6,108.3,47.5,56.5,3,13,10,8.4,6.5,14.9,45,-6,27,33,17.4,21.3,38.8,44.7,-16,68,84,43.9,54.3,98.2,40.4,-22,29.7,43.9,46,68,73.6,10,20,22,16,42.9,-12,23.3,31,36,48,1.9,0,100,8.3,6.5,100,52.9,78.3,40.6,39,57,29,35,32,41,22,7,5,-2,92.9
"26","ARI",2,"20152016",6,1,5,44.4,121.8,70.2,15,98.1,46.4,113.1,42.6,50,0,20,20,14.2,14.2,28.5,46.2,-7,43,50,30.6,35.6,66.3,44.4,-19,76,95,54.1,67.7,121.8,41.6,-23,40.6,57,57,80,97.6,17,28,19,15,43.5,-12,28.5,37,40,52,4.3,0.7,85.7,15,10.5,98.1,52.6,70.2,46.4,32,37,20,22,27,44,41,10,7,-3,84.2
"27","DET",2,"20152016",6,2,4,41.6,102.4,75,16.7,96.1,49.4,112.7,51,50,0,17,17,10.8,10.8,21.6,45.8,-7,38,45,24.2,28.6,52.8,41.6,-27,67,94,42.6,59.8,102.4,37.5,-32,30.5,50.9,48,80,81.4,12,29,19,14,41.4,-15,22.9,32.4,36,51,3.8,1.3,75,16.7,12.5,96.1,53.7,75,49.4,42,43,25,36,24,56,36,4,5,1,94.3
"28","COL",2,"20152016",6,6,0,41.7,122.9,65.6,15,88.2,47.7,103.2,40.3,56.8,6,25,19,15.1,11.4,26.5,41.6,-17,42,59,25.3,35.6,60.9,41.7,-34,85,119,51.2,71.7,122.9,44.9,-14,36.8,45.2,61,75,81.9,21,24,24,44,44,-11,24.1,30.7,40,51,3.6,3.6,50,15,9.8,88.2,47.1,65.6,47.7,53,58,25,49,37,39,18,6,7,1,99.6
"29","OTT",3,"20152016",3,5,-2,42.2,110.1,67.9,5.5,94,57.1,99.4,53.1,44,-6,22,28,9.4,11.9,21.3,39.6,-28,53,81,22.6,34.6,57.2,42.2,-40,109,149,46.5,63.6,110.1,42.4,-29,34.6,46.9,81,110,81.5,26,27,28,39,39.9,-28,23.5,35.4,55,83,1.3,2.1,37.5,5.5,3.7,94,50.5,67.9,57.1,89,67,51,60,45,76,49,11,9,-2,140.6
"30","NYR",3,"20152016",10,4,6,40,100.5,79.1,14.7,95.1,49.3,109.8,52.8,56.6,7,30,23,12.1,9.2,21.3,45.9,-10,56,66,22.5,26.5,49,40,-50,100,150,40.2,60.3,100.5,42.8,-29,34.6,46.2,86,115,80.8,18,34,14,35,45.6,-13,27.3,32.6,68,81,4,1.6,71.4,14.7,11.6,95.1,68,79.1,49.3,75,77,47,63,42,96,77,11,3,-8,149.3
