"","Team","Gm","season","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%","SCF%","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","CF%","C+/-","CF","CA","CF60","CA60","CP60","FF%","F+/-","FF60","FA60","FF","FA","FP60","MSF","MSA","BSF","BSA","SF%","S+/-","SF60","SA60","SF","SA","GF60","GA60","GF%","OSh%","OFenSh%","OSv%","OCOn%","OFOn%","FO%","FO_W","FO_L","ZSO","ZSN","ZSD","HIT","HIT-","PN","PN-","TOI"
"15","ARI",6,"20142015",8,16,-8,50.9,111.5,68.1,5.4,89.9,50.7,95.4,50.5,48.3,-9,125,134,24.4,26.1,50.5,50.9,10,291,281,56.7,54.8,111.5,50.2,2,42.1,41.7,216,214,83.8,69,55,75,67,48,-12,28.6,31,147,159,1.6,3.1,33.3,5.4,3.7,89.9,50.5,68.1,50.7,151,147,97,106,95,184,169,12,9,307.9
"16","T.B",7,"20142015",17,18,-1,50.3,110,70.3,9.8,89.5,41.6,99.4,51.2,46.3,-24,151,175,25.6,29.7,55.3,50.3,4,326,322,55.3,54.6,110,49.6,-4,41.8,42.4,246,250,84.2,73,78,80,72,50.1,1,29.4,29.2,173,172,2.9,3.1,48.6,9.8,6.9,89.5,53.1,70.3,41.6,136,191,108,116,103,170,169,12,18,353.5
"17","TOR",6,"20142015",9,10,-1,49.4,113.5,74.1,6.3,93.1,50.2,99.4,48.7,46.1,-20,117,137,25,29.2,54.2,49.4,-6,263,269,56.1,57.4,113.5,49.6,-3,41.2,41.8,193,196,83,50,51,70,73,49.7,-2,30.5,30.9,143,145,1.9,2.1,47.4,6.3,4.7,93.1,54.4,74.1,50.2,143,142,95,90,100,194,180,22,16,281.2
"18","PIT",7,"20142015",18,8,10,48.9,97.1,76.8,11.3,95.1,47,106.4,47.7,47.3,-14,124,138,21.4,23.8,45.1,48.9,-12,276,288,47.5,49.6,97.1,48.1,-16,35.6,38.4,207,223,74,48,61,69,65,49.5,-3,27.4,27.9,159,162,3.1,1.4,69.2,11.3,8.7,95.1,57.6,76.8,47,150,169,95,120,104,224,187,20,18,348.4
"19","COL",6,"20142015",19,14,5,48.6,107.9,73.7,12.6,88.6,60.5,101.2,47.9,56,30,141,111,28.6,22.5,51,48.6,-15,259,274,52.5,55.5,107.9,54.4,33,41.5,34.8,205,172,76.4,54,49,54,102,55.1,28,30.6,24.9,151,123,3.8,2.8,57.6,12.6,9.3,88.6,58.3,73.7,60.5,184,120,90,116,98,136,114,12,16,296.3
"20","VAN",8,"20142015",19,17,2,48.7,104.1,70.8,10.4,91,45.1,101.4,46.9,47.2,-19,163,182,24.8,27.7,52.5,48.7,-18,333,351,50.7,53.4,104.1,50,0,39.1,39.1,257,257,78.2,75,68,76,94,49.1,-7,27.7,28.8,182,189,2.9,2.6,52.8,10.4,7.4,91,54.7,70.8,45.1,156,190,106,120,120,133,143,28,11,394.4
"21","DAL",7,"20142015",13,19,-6,48.6,114.4,65.9,8.6,89.6,50.3,98.2,48.3,50,0,144,144,25.5,25.5,51,48.6,-18,314,332,55.6,58.8,114.4,48,-19,40.6,43.9,229,248,84.5,78,66,85,84,45.3,-31,26.7,32.2,151,182,2.3,3.4,40.6,8.6,5.7,89.6,48.1,65.9,50.3,196,194,116,150,124,122,133,17,17,338.8
"22","S.J",7,"20142015",12,16,-4,48.7,121.4,68.8,6.6,91.8,48.6,98.5,47.4,49.1,-6,159,165,27.2,28.2,55.5,48.7,-19,345,364,59.1,62.3,121.4,48.5,-16,45,47.8,263,279,92.8,82,83,82,85,48,-15,31,33.6,181,196,2.1,2.7,42.9,6.6,4.6,91.8,52.5,68.8,48.6,174,184,109,128,121,187,174,12,14,350.5
"23","N.J",6,"20142015",7,9,-2,45.7,96.3,73.9,5.9,93.3,47.5,99.2,46.2,46.1,-17,101,118,21.2,24.7,45.9,45.7,-40,210,250,44,52.4,96.3,45.6,-31,33.7,40.2,161,192,73.9,42,58,49,58,47,-15,24.9,28.1,119,134,1.5,1.9,43.8,5.9,4.3,93.3,56.7,73.9,47.5,126,139,74,105,86,88,105,15,12,286.5
"24","FLA",8,"20142015",9,14,-5,46.5,96.2,74.5,5.6,92.8,47.3,98.4,53.6,47.1,-16,131,147,20.2,22.7,42.9,46.5,-43,290,333,44.8,51.4,96.2,45,-48,33.4,40.8,216,264,74.1,55,69,74,69,45.2,-34,24.9,30.1,161,195,1.4,2.2,39.1,5.6,4.2,92.8,55.5,74.5,47.3,186,207,128,154,111,209,205,15,24,388.6
"25","WSH",7,"20142015",12,13,-1,46.4,112.8,68.8,8.1,91.8,50,99.9,50.8,46.3,-21,130,151,23.2,27,50.3,46.4,-45,293,338,52.4,60.4,112.8,46.9,-28,38.5,43.5,215,243,81.9,67,85,78,95,48.4,-10,26.5,28.3,148,158,2.1,2.3,48,8.1,5.6,91.8,50.5,68.8,50,155,155,100,113,97,223,234,17,19,335.5
"26","MIN",8,"20142015",23,12,11,46.6,100.1,72.3,13.4,93,47.3,106.4,45.9,49.7,-2,155,157,22.9,23.2,46.1,46.6,-46,316,362,46.7,53.4,100.1,48.1,-19,35.1,37.9,238,257,73.1,66,85,78,105,50,0,25.4,25.4,172,172,3.4,1.8,65.7,13.4,9.7,93,54.4,72.3,47.3,185,206,107,158,126,91,130,14,17,406.4
"27","CBJ",7,"20142015",16,19,-3,46.2,113.2,75.1,9.8,90.5,48.2,100.3,42.5,48.5,-9,150,159,26,27.5,53.5,46.2,-50,302,352,52.3,60.9,113.2,45.5,-43,37.6,45,217,260,82.6,54,61,85,92,45,-36,28.2,34.5,163,199,2.8,3.3,45.7,9.8,7.4,90.5,54,75.1,48.2,151,162,85,113,115,219,219,15,20,346.5
"28","EDM",8,"20142015",9,21,-12,45.2,98.3,74.2,5.4,89.7,50.9,95,51.3,43.2,-45,144,189,20.7,27.2,48,45.2,-66,308,374,44.4,53.9,98.3,44.2,-59,32.4,40.9,225,284,73.3,58,81,83,90,45.1,-36,24.1,29.2,167,203,1.3,3,30,5.4,4,89.7,54.2,74.2,50.9,192,185,120,143,114,225,217,13,17,416.5
"29","CGY",6,"20142015",13,16,-3,43.1,117.5,70.2,10.4,90.6,53.3,101,44.4,46.5,-19,127,146,25.5,29.3,54.8,43.1,-81,252,333,50.6,66.9,117.5,43.7,-51,35.8,46,178,229,81.7,53,59,74,104,42.4,-45,25.1,34.1,125,170,2.6,3.2,44.8,10.4,7.3,90.6,49.6,70.2,53.3,147,129,83,89,104,111,84,10,17,298.7
"30","BUF",6,"20142015",5,7,-2,38.1,110.2,73.6,4.2,95.6,47.7,99.7,44.9,38.3,-60,98,158,20.8,33.5,54.2,38.1,-124,198,322,41.9,68.2,110.2,41.4,-68,34.5,48.9,163,231,83.5,43,73,35,91,43.2,-38,25.4,33.5,120,158,1.1,1.5,41.7,4.2,3.1,95.6,60.6,73.6,47.7,133,146,83,94,102,176,106,21,16,283.2
