"","teamname","TeamGoalFor","TeamGoalAgn","TeamShotFor","TeamShotAgn","FenwickFor","FenwickAgn","CorsiFor","CorsiAgn","GF1","GA1","SF1","SA1","FF1","FA1","CF1","CA1","GF2","GA2","SF2","SA2","FF2","FA2","CF2","CA2","GF3","GA3","SF3","SA3","FF3","FA3","CF3","CA3","TOI","ZSO","ZSN","ZSD","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","Games","season","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team"
"26","T.B",76,58,654,620,885,852,1164,1178,18,10,307,291,309,293,312,297,17,19,168,159,168,160,169,160,39,24,166,159,166,160,167,160,1339.18333333333,426,451,405,633,649,99,99,463,458,22,"20142015",49.7,52.15,52.78,-14,104.93,50.95,39.65,38.17,33,77.82,51.33,29.3,27.78,34,56.72,3.41,2.6,18,51.26,102.27,49.38,73.9,56.19,11.62,8.59,90.65,231,232,279,326
"6","CBJ",49,71,587,661,806,881,1081,1140,10,12,303,358,304,358,304,361,12,18,125,141,125,141,126,141,26,39,153,151,153,151,156,152,1209.36666666667,430,411,441,613,669,96,99,574,481,20,"20142015",48.67,53.63,56.56,-59,110.19,47.78,39.99,43.71,-75,83.7,47.04,29.12,32.79,-74,40.83,2.43,3.52,-22,49.37,97.61,47.82,72.83,54.3,8.35,6.08,89.26,219,220,275,259
"13","FLA",39,44,524,555,725,768,945,1014,9,10,299,315,300,318,300,320,12,8,113,105,113,105,113,106,18,21,104,121,104,121,105,121,1109.35,344,363,430,551,586,86,77,448,484,18,"20142015",48.24,51.11,54.84,-69,105.95,48.56,39.21,41.54,-43,80.75,48.56,28.34,30.02,-31,46.99,2.11,2.38,-5,44.44,99.51,48.46,72.28,55.45,7.44,5.38,92.07,201,213,220,246
"17","N.J",52,59,554,638,740,829,988,1061,17,14,294,336,294,337,294,337,13,14,129,152,129,152,131,152,19,28,122,141,124,141,124,142,1281.35,394,409,423,589,637,94,76,361,399,21,"20142015",48.22,46.26,49.68,-73,95.95,47.16,34.65,38.82,-89,73.47,46.48,25.94,29.87,-84,46.85,2.43,2.76,-7,48.23,100.14,48.04,74.86,56.07,9.39,7.03,90.75,186,191,248,232
"21","OTT",51,48,555,660,768,892,1035,1113,10,17,310,383,311,384,312,385,9,9,101,131,101,131,101,131,32,20,140,137,141,137,141,137,1165.38333333333,396,373,417,571,615,93,99,527,469,19,"20142015",48.18,53.29,57.3,-78,110.59,46.27,39.54,45.92,-124,85.47,45.68,28.57,33.98,-105,51.52,2.63,2.47,3,48.71,101.92,48.15,72.27,53.62,9.19,6.64,92.73,213,232,267,221
"10","DAL",60,71,601,661,874,947,1181,1274,8,17,274,306,275,308,275,311,19,20,159,184,159,184,160,185,31,31,159,162,159,163,160,163,1276.78333333333,474,477,457,691,717,91,88,398,429,21,"20142015",48.11,55.5,59.87,-93,115.37,48,41.07,44.5,-73,85.57,47.62,28.24,31.06,-60,45.8,2.82,3.34,-11,50.91,99.24,49.08,68.76,50.89,9.98,6.86,89.26,273,286,307,327
"2","ARI",52,66,630,680,888,969,1233,1330,8,10,363,329,364,331,364,333,18,22,128,173,128,173,129,174,22,34,130,174,132,174,133,174,1345.36666666667,491,469,460,745,675,99,108,556,569,22,"20142015",48.11,54.99,59.31,-97,114.3,47.82,39.6,43.21,-81,82.82,48.09,28.1,30.33,-50,44.07,2.32,2.94,-14,51.63,98.55,52.46,70.95,51.09,8.25,5.86,90.29,258,289,345,361
"27","TOR",67,62,641,693,894,973,1179,1303,14,13,318,343,322,345,327,347,20,14,140,158,140,159,141,161,30,31,173,182,173,183,173,183,1270.4,432,439,500,715,656,89,93,645,637,21,"20142015",47.5,55.68,61.54,-124,117.22,47.88,42.22,45.95,-79,88.18,48.05,30.27,32.73,-52,51.94,3.16,2.93,5,46.35,101.51,52.15,71.7,54.37,10.45,7.49,91.05,253,280,285,330
"16","MTL",57,57,632,704,882,974,1244,1380,11,6,326,373,327,373,328,373,16,9,145,130,145,130,145,130,28,41,156,193,156,193,156,195,1403.68333333333,443,473,546,799,663,110,95,450,554,23,"20142015",47.41,53.17,58.99,-136,112.16,47.52,37.7,41.63,-92,79.33,47.31,27.01,30.09,-72,50,2.44,2.44,0,44.79,100.92,54.65,71.66,50.8,9.02,6.46,91.9,250,270,362,406
"7","CGY",68,60,587,637,814,907,1120,1311,16,14,297,301,297,301,299,302,22,17,138,164,138,164,138,164,28,28,144,161,144,163,145,166,1351.86666666667,435,477,506,660,758,87,100,467,398,22,"20142015",46.07,49.71,58.19,-191,107.9,47.3,36.13,40.26,-93,76.38,47.96,26.05,28.27,-50,53.12,3.02,2.66,8,46.23,102.17,46.54,72.11,52.41,11.58,8.35,90.58,227,270,306,404
"9","COL",51,65,609,716,791,972,1041,1320,15,12,326,336,327,337,327,338,10,14,136,151,136,152,136,153,22,35,132,216,132,217,132,219,1287.53333333333,451,427,467,660,685,97,92,539,446,21,"20142015",44.09,48.51,61.51,-279,110.02,44.87,36.86,45.3,-181,82.16,45.96,28.38,33.37,-107,43.97,2.38,3.03,-14,49.13,99.3,49.07,76.99,58.5,8.37,6.45,90.92,182,256,250,348
"4","BUF",34,69,488,775,652,1096,876,1468,5,23,248,392,248,393,248,395,8,17,92,177,92,177,92,177,20,28,144,198,145,198,145,198,1276.33333333333,363,375,505,522,721,105,84,577,397,21,"20142015",37.37,41.18,69.01,-592,110.19,37.3,30.65,51.52,-444,82.17,38.64,22.94,36.43,-287,33.01,1.6,3.24,-35,41.82,98.06,42,74.85,55.71,6.97,5.21,91.1,164,321,224,372
