Rk,Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO
1,Nashville Predators,60,40,13,7,87,.725,181,141,0.66,0.00,5.37,34,194,17.53,32,179,82.12,3,3,1916,9.1,1734,.925,101.4
2,Anaheim Ducks,60,37,16,7,81,.675,178,168,0.14,-0.03,5.77,34,190,17.89,38,204,81.37,6,5,1797,9.5,1741,.909,100.3
3,Montreal Canadiens,59,38,16,5,81,.686,157,131,0.39,-0.05,4.88,29,174,16.67,27,186,85.48,3,2,1692,8.9,1784,.930,101.8
4,St. Louis Blues,59,38,17,4,80,.678,186,146,0.67,-0.01,5.63,44,187,23.53,36,187,80.75,1,4,1836,9.7,1634,.913,101.1
5,Tampa Bay Lightning,62,37,19,6,80,.645,203,167,0.52,-0.06,5.97,37,216,17.13,32,192,83.33,6,5,1838,10.9,1702,.908,101.4
6,New York Islanders,61,39,20,2,80,.656,195,172,0.40,0.02,6.02,39,210,18.57,43,166,74.10,8,1,2060,9.1,1693,.904,99.3
7,New York Rangers,58,36,16,6,78,.672,185,145,0.65,-0.04,5.69,31,168,18.45,29,171,83.04,8,5,1811,10.0,1695,.919,101.9
8,Pittsburgh Penguins,60,34,17,9,77,.642,172,149,0.44,0.06,5.35,38,185,20.54,30,209,85.65,4,7,1862,9.1,1773,.921,101.1
9,Detroit Red Wings,57,33,14,10,76,.667,170,149,0.30,-0.07,5.60,52,200,26.00,33,194,82.99,2,5,1685,9.9,1569,.915,101.1
10,Washington Capitals,61,33,18,10,76,.623,181,152,0.45,-0.03,5.46,44,186,23.66,38,198,80.81,3,1,1813,9.8,1752,.917,101.5
11,Chicago Blackhawks,60,35,20,5,75,.625,177,144,0.60,0.05,5.35,38,206,18.45,22,157,85.99,2,5,2065,8.2,1771,.924,100.4
12,Vancouver Canucks,59,34,22,3,71,.602,169,155,0.23,0.00,5.49,33,178,18.54,29,202,85.64,4,2,1730,9.6,1701,.914,100.7
13,Winnipeg Jets,61,30,20,11,71,.582,169,166,0.04,-0.02,5.49,38,205,18.54,49,251,80.48,7,5,1841,8.9,1769,.913,99.9
14,Minnesota Wild,59,31,21,7,69,.585,168,156,0.17,-0.04,5.49,30,186,16.13,24,169,85.80,4,3,1850,9.0,1576,.906,99.3
15,Los Angeles Kings,58,28,18,12,68,.586,161,152,0.12,-0.04,5.40,35,189,18.52,37,178,79.21,5,1,1815,8.8,1595,.912,99.9
16,Calgary Flames,59,32,23,4,68,.576,171,156,0.19,-0.06,5.54,34,194,17.53,27,135,80.00,3,3,1608,10.4,1665,.912,101.3
17,San Jose Sharks,61,30,23,8,68,.557,171,174,-0.09,-0.04,5.66,39,189,20.63,32,165,80.61,4,5,1889,8.9,1809,.911,99.7
18,Boston Bruins,59,29,21,9,67,.568,157,156,0.01,-0.01,5.31,25,140,17.86,33,186,82.26,6,2,1790,8.7,1733,.917,100.2
19,Florida Panthers,59,26,21,12,64,.542,143,166,-0.44,-0.05,5.24,27,179,15.08,39,187,79.14,0,5,1823,7.5,1778,.915,98.8
20,Colorado Avalanche,60,26,23,11,63,.525,159,170,-0.08,0.11,5.48,24,184,13.04,33,195,83.08,3,1,1720,8.8,1965,.920,100.6
21,Philadelphia Flyers,60,26,23,11,63,.525,161,174,-0.24,-0.02,5.58,45,191,23.56,46,196,76.53,1,5,1761,9.0,1776,.910,99.8
22,Dallas Stars,60,27,24,9,63,.525,189,198,-0.11,0.04,6.45,39,214,18.22,40,195,79.49,9,6,1855,10.1,1862,.898,99.7
23,Ottawa Senators,57,24,23,10,58,.509,163,161,-0.01,-0.04,5.68,34,198,17.17,34,194,82.47,4,6,1737,9.2,1849,.918,100.9
24,New Jersey Devils,59,24,26,9,57,.483,133,158,-0.36,0.06,4.93,32,162,19.75,41,199,79.40,4,5,1421,9.1,1792,.921,100.8
25,Columbus Blue Jackets,58,26,28,4,56,.483,153,180,-0.40,0.07,5.74,39,184,21.20,39,205,80.98,3,3,1626,9.2,1915,.912,99.9
26,Toronto Maple Leafs,60,24,31,5,53,.442,167,183,-0.24,0.03,5.83,38,204,18.63,34,190,82.11,7,9,1765,9.3,1948,.911,100.2
27,Carolina Hurricanes,58,21,30,7,49,.422,130,158,-0.43,0.05,4.97,31,174,17.82,18,148,87.84,2,3,1743,7.2,1603,.909,97.7
28,Arizona Coyotes,59,20,32,7,47,.398,133,198,-1.08,0.02,5.61,38,172,22.09,45,201,77.61,3,4,1722,7.5,1877,.900,97.3
29,Edmonton Oilers,61,17,34,10,44,.361,140,205,-1.04,0.02,5.66,27,176,15.34,36,161,77.64,4,5,1696,8.0,1805,.892,96.9
30,Buffalo Sabres,60,17,38,5,39,.325,110,202,-1.45,0.08,5.20,19,167,11.38,51,202,74.75,5,8,1376,7.5,2091,.908,98.3
