"","teamname","season","PN","PN-","HIT","HIT-","FO_W","FO_L","CF","CA","FF","FA","SF","SA","GF","GA","ZSO","ZSN","ZSD","TOI","Gm","CF%","CF60","CA60","C+/-","CP60","FF%","FF60","FA60","F+/-","FP60","SF%","SF60","SA60","S+/-","GF%","GF60","GA60","G+/-","ZSO%","PDO","FO%","OFOn%","OCOn%","OSh%","OFenSh%","OSv%","MSF","MSA","BSF","BSA"
"1","CHI","20142015",94,107,515,872,878,790,1771,1454,1306,1088,987,813,74,54,617,568,483,1711.325,36,54.9147286821705,62.0922384701912,50.9780433289995,317,113.070281799191,54.5530492898914,45.7890815596102,38.1458811155099,218,83.9349626751202,54.8333333333333,34.6047653134267,28.5042291791448,174,57.8125,2.59448088469461,1.89326983477715,20,56.0909090909091,100.855400651271,52.6378896882494,75.5742725880551,55.7312252964427,7.49746707193516,5.66615620214395,93.3579335793358,319,275,465,366
"2","T.B","20142015",109,104,713,745,792,771,1626,1391,1213,1017,880,738,81,60,526,616,421,1733.05833333333,37,53.8945972820683,56.2935465722927,48.1576403948703,235,104.451186967163,54.3946188340807,41.9951242264398,35.209432265696,196,77.2045564921358,54.3881334981459,30.4663720686455,25.5502074848413,142,57.4468085106383,2.80429106540942,2.07725264104401,21,55.5438225976769,101.074464153732,50.6717850287908,72.5474031327288,54.1205412054121,9.20454545454546,6.67765869744435,91.869918699187,333,279,413,374
"3","L.A","20142015",114,111,1023,886,840,846,1691,1457,1271,1142,870,790,64,52,579,612,495,1704.275,36,53.7166454891995,59.5326458464743,51.294538733479,234,110.827184579953,52.673021135516,44.7462997462264,40.2047791582931,129,84.9510789045195,52.4096385542169,30.6288597790849,27.8124129028472,80,55.1724137931034,2.25315750099016,1.8306904695545,12,53.9106145251397,100.774043358068,49.8220640569395,68.4500393391031,51.4488468361916,7.35632183908046,5.0354051927616,93.4177215189873,401,352,420,315
"4","DET","20142015",95,115,618,747,883,715,1444,1250,1087,969,809,723,59,55,576,577,445,1659.35833333333,36,53.6005939123979,52.2129538024236,45.1981940810454,194,97.411147883469,52.8696498054475,39.3043495728771,35.0376400516264,118,74.3419896245035,52.8067885117493,29.2522712092526,26.1426354564767,86,51.7543859649123,2.13335476062534,1.988720539566,4,56.4152791380999,99.6857620100289,55.2565707133917,74.42502299908,56.0249307479224,7.2929542645241,5.42778288868445,92.3928077455048,278,246,357,281
"5","NYI","20142015",94,113,960,743,776,848,1683,1495,1255,1038,883,749,72,65,533,620,471,1705.03333333333,35,52.9578351164254,59.2246485894704,52.6089421516686,188,111.833590741139,54.7317924116877,44.1633594651131,36.5271451193525,217,80.6905045844656,54.1053921568627,31.0727063009521,26.3572559676253,134,52.5547445255474,2.53367480596665,2.28734531094211,7,53.0876494023904,99.4757827348507,47.7832512315271,70.3585657370518,52.465834818776,8.15402038505096,5.73705179282869,91.3217623497997,372,289,428,457
"6","NSH","20142015",84,90,606,627,805,894,1607,1426,1180,1034,865,752,73,42,574,568,557,1645.76666666667,34,52.9838443785031,58.5866769286857,51.987928624957,181,110.574605553643,53.2971996386631,43.0194640795577,37.6967168290361,146,80.7161809085938,53.4941249226964,31.5354546006927,27.4157940574808,113,63.4782608695652,2.66137362526077,1.53120126384866,31,50.7515473032714,102.854199975403,47.3808122424956,73.3050847457627,53.8270068450529,8.4393063583815,6.1864406779661,94.4148936170213,315,282,427,392
"7","MIN","20142015",82,100,511,641,752,769,1481,1319,1113,956,785,681,66,70,501,548,472,1543.44166666667,33,52.8928571428571,57.5726325905849,51.2750184922225,162,108.847651082807,53.7941034316095,43.2669413054159,37.1636980125585,157,80.4306393179744,53.5470668485675,30.5162164642871,26.4733037097828,104,48.5294117647059,2.56569463266617,2.72119127707018,-4,51.4902363823227,98.1286418436731,49.4411571334648,70.5300988319856,53.0047265361242,8.40764331210191,5.92991913746631,89.7209985315712,328,275,368,363
"8","BOS","20142015",115,77,811,852,893,794,1640,1494,1195,1138,845,846,66,67,541,606,540,1777.25,36,52.3292916400766,55.3664369109579,50.4374736249824,146,105.80391053594,51.2216030861552,40.3432268954846,38.4189056126037,57,78.7621325080883,49.9704316972206,28.527219018146,28.5609790406527,-1,49.6240601503759,2.22816148544099,2.26192150794767,-1,50.0462534690102,99.891029138165,52.9342027267338,70.7112970711297,51.5243902439024,7.81065088757396,5.52301255230125,92.080378250591,350,292,445,356
"9","WPG","20142015",128,104,919,747,735,794,1538,1418,1110,1051,804,743,57,51,500,561,468,1664.15,36,52.0297699594046,55.4517321154944,51.1251990505664,120,106.576931166061,51.3651087459509,40.0204308505844,37.8932187603281,59,77.9136496109125,51.9715578539108,28.9877715350179,26.7884505603461,61,52.7777777777778,2.05510320584082,1.83877655259442,6,51.6528925619835,100.225487635845,48.0706344015697,72.4324324324324,52.2756827048114,7.08955223880597,5.13513513513514,93.135935397039,306,308,428,367
"10","S.J","20142015",94,103,784,818,939,867,1734,1616,1216,1172,843,834,61,64,560,617,629,1767.73333333333,36,51.7611940298507,58.8550309247247,54.8499019459949,118,113.70493287072,50.9212730318258,41.2731935435209,39.7797556192488,44,81.0529491627697,50.2683363148479,28.6129129582139,28.3074370191582,9,48.8,2.07044803137728,2.17227334439584,-3,47.0984020185029,99.5622007731893,51.9933554817276,69.3256578947368,48.6159169550173,7.23606168446026,5.01644736842105,92.326139088729,373,338,518,444
"11","FLA","20142015",88,100,796,795,734,776,1396,1281,1073,974,791,695,52,49,479,540,491,1509.45,32,52.1479267837131,55.4904104143893,50.9192089834046,115,106.409619397794,52.4181729360039,42.6512968299712,38.7160886415582,99,81.3673854715294,53.2301480484522,31.4419159296432,27.6259564742125,96,51.4851485148515,2.06697803835834,1.94772930537613,3,49.3814432989691,99.5235973042047,48.6092715231788,73.7185461323392,56.6618911174785,6.57395701643489,4.84622553588071,92.9496402877698,282,279,323,307
"12","WSH","20142015",101,95,912,867,801,788,1522,1446,1101,1048,797,756,65,61,525,599,465,1682.175,35,51.2803234501348,54.2868607606224,51.5760845334166,76,105.862945294039,51.2331316891577,39.2705871862321,37.3801774488386,53,76.6507646350707,51.3200257566001,28.4274822774087,26.9650898390477,41,51.5873015873016,2.31842703642606,2.17575460341522,4,53.030303030303,100.086800369109,50.4090623033354,72.3887375113533,52.365308804205,8.1555834378921,5.90372388737511,91.9312169312169,304,292,421,398
"13","CAR","20142015",78,100,707,832,837,783,1558,1491,1136,1094,798,758,47,69,537,580,503,1685.6,35,51.0987208920958,55.4579971523493,53.0730897009967,67,108.531086853346,50.9417040358744,40.436639772188,38.9416231608923,42,79.3782629330802,51.2853470437018,28.4053156146179,26.9814902705268,40,40.5172413793103,1.67299477930707,2.45609871855719,-22,51.6346153846154,96.7868219361068,51.6666666666667,70.2464788732394,51.219512195122,5.88972431077694,4.13732394366197,90.8970976253298,338,336,422,397
"14","DAL","20142015",100,103,606,639,870,863,1595,1544,1193,1143,822,807,70,74,560,655,518,1604.19166666667,34,50.8123606244027,59.6562131499249,57.7487104097079,51,117.404923559633,51.0702054794521,44.620603315273,42.75050258957,50,87.371105904843,50.4604051565378,30.7444559305569,30.183425712846,15,48.6111111111111,2.61814101598417,2.7677490740404,-4,51.9480519480519,99.346050525059,50.201961915753,68.9019279128248,51.5360501567398,8.51581508515815,5.86756077116513,90.8302354399009,371,336,402,401
"15","STL","20142015",118,99,643,743,930,802,1489,1452,1135,1055,825,755,62,56,540,608,584,1659.43333333333,35,50.6290377422645,53.8376554245425,52.4998493461623,37,106.337504770705,51.8264840182648,41.0381053773376,38.1455516943535,80,79.1836570716911,52.2151898734177,29.8294598557741,27.2984753831629,70,52.5423728813559,2.24172910431272,2.02478757808891,6,48.0427046263345,100.097932972105,53.6951501154734,72.6872246696035,55.4063129617193,7.51515151515152,5.46255506607929,92.5827814569536,310,300,354,397
"16","PIT","20142015",131,110,926,870,726,782,1443,1417,1069,1037,792,761,67,50,471,585,452,1627.65833333333,35,50.4545454545455,53.1929817375678,52.2345496341882,26,105.427531371756,50.7597340930674,39.4063045581843,38.2266958155633,32,77.6330003737476,50.9980682549903,29.1953163798709,28.0525704104567,31,57.2649572649573,2.46980580486281,1.84313866034538,17,51.0292524377031,101.889293725693,48.1432360742706,74.087932647334,54.8856548856549,8.45959595959596,6.26753975678204,93.4296977660972,277,276,374,380
"17","ANA","20142015",100,119,981,956,933,851,1629,1604,1227,1177,855,822,66,61,577,636,571,1764.81666666667,37,50.3866377977111,55.3825232082653,54.5325765660267,25,109.915099774292,51.0399334442596,41.715381201069,40.0154879165919,50,81.7308691176609,50.9838998211091,29.0681751645591,27.9462455968042,33,51.9685039370079,2.24385913550983,2.07386980706211,5,50.2613240418118,100.298373671405,52.2982062780269,69.6821515892421,52.4861878453039,7.71929824561404,5.37897310513447,92.5790754257908,372,355,402,427
