Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA
1,Anaheim Ducks,,13,10,3,0,20,.769,36,24,1.06,0.14,4.62,9,53,16.98,6,43,86.05,2,1
2,Tampa Bay Lightning,,12,8,3,1,17,.708,42,32,0.69,-0.14,6.17,11,44,25.00,5,33,84.85,0,1
3,Montreal Canadiens,,12,8,3,1,17,.708,31,35,-0.21,0.12,5.50,3,33,9.09,7,51,86.27,1,0
4,Nashville Predators,,11,7,2,2,16,.727,29,22,0.81,0.17,4.64,4,32,12.50,9,33,72.73,0,1
5,Calgary Flames,,13,7,4,2,16,.615,37,29,0.55,-0.07,5.08,9,45,20.00,9,37,75.68,0,0
6,Vancouver Canucks,,12,8,4,0,16,.667,38,34,0.12,-0.22,6.00,10,44,22.73,6,46,86.96,1,1
7,San Jose Sharks,,13,7,4,2,16,.615,41,35,0.31,-0.15,5.85,11,43,25.58,7,42,83.33,0,3
8,Detroit Red Wings,,11,6,2,3,15,.682,29,24,0.65,0.19,4.82,5,43,11.63,2,38,94.74,0,1
9,Pittsburgh Penguins,,10,7,2,1,15,.750,41,22,1.93,0.03,6.30,18,43,41.86,6,41,85.37,1,1
10,Boston Bruins,,13,7,6,0,14,.538,36,32,0.25,-0.05,5.23,7,37,18.92,8,41,80.49,2,0
11,Minnesota Wild,,10,7,3,0,14,.700,35,18,1.70,0.00,5.30,2,31,6.45,3,28,89.29,1,1
12,Los Angeles Kings,,12,6,4,2,14,.583,28,26,-0.03,-0.20,4.50,6,38,15.79,9,45,80.00,3,0
13,New Jersey Devils,,11,6,3,2,14,.636,33,36,-0.23,0.04,6.27,10,38,26.32,15,48,68.75,1,0
14,Winnipeg Jets,,12,6,5,1,13,.542,22,26,-0.48,-0.14,4.00,3,39,7.69,6,47,87.23,1,0
15,St. Louis Blues,,10,6,3,1,13,.650,25,20,0.64,0.14,4.50,8,39,20.51,9,37,75.68,0,0
16,Chicago Blackhawks,,12,6,5,1,13,.542,29,23,0.69,0.19,4.33,9,49,18.37,3,37,91.89,2,3
17,Toronto Maple Leafs,,11,6,4,1,13,.591,32,28,0.38,0.01,5.45,7,42,16.67,8,42,80.95,1,1
18,Ottawa Senators,,10,5,3,2,12,.600,28,26,0.22,0.02,5.40,8,40,20.00,7,42,83.33,1,1
19,Dallas Stars,,11,4,3,4,12,.545,34,39,0.03,0.49,6.64,8,42,19.05,9,40,77.50,0,1
20,New York Islanders,,11,6,5,0,12,.545,36,39,-0.44,-0.17,6.82,9,44,20.45,12,34,64.71,1,0
21,Florida Panthers,,9,4,2,3,11,.611,14,18,-0.91,-0.47,3.56,5,34,14.71,11,47,76.60,0,0
22,Colorado Avalanche,,13,3,5,5,11,.423,31,38,-0.21,0.33,5.31,8,47,17.02,4,53,92.45,2,0
23,New York Rangers,,10,5,4,1,11,.550,27,31,-0.51,-0.11,5.80,2,28,7.14,6,36,83.33,0,2
24,Washington Capitals,,11,4,5,2,10,.455,35,33,0.07,-0.11,6.18,11,38,28.95,9,42,78.57,0,0
25,Philadelphia Flyers,,11,4,5,2,10,.455,33,38,-0.10,0.36,6.45,8,41,19.51,8,33,75.76,0,1
26,Edmonton Oilers,,11,4,6,1,9,.409,29,39,-1.01,-0.10,6.18,5,34,14.71,6,32,81.25,1,2
27,Arizona Coyotes,,11,4,6,1,9,.409,28,42,-1.40,-0.13,6.36,11,43,25.58,9,35,74.29,0,1
28,Columbus Blue Jackets,,11,4,7,0,8,.364,28,37,-0.81,0.01,5.91,9,46,19.57,9,36,75.00,1,0
29,Buffalo Sabres,,13,3,9,1,7,.269,16,43,-1.86,0.22,4.54,1,42,2.38,9,50,82.00,1,1
30,Carolina Hurricanes,,10,2,6,2,6,.300,21,35,-1.95,-0.55,5.60,7,32,21.88,7,35,80.00,0,0
