"","Team","Gm","season","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%","SCF%","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","CF%","C+/-","CF","CA","CF60","CA60","CP60","FF%","F+/-","FF60","FA60","FF","FA","FP60","MSF","MSA","BSF","BSA","SF%","S+/-","SF60","SA60","SF","SA","GF60","GA60","GF%","OSh%","OFenSh%","OSv%","OCOn%","OFOn%","FO%","FO_W","FO_L","ZSO","ZSN","ZSD","HIT","HIT-","PN","PN-","PenD","TOI"
"15","CBJ",7,"20142015",10,10,0,52.4,102.6,71.4,6.5,93.6,48.8,100.1,48.6,53.5,19,147,128,27.3,23.8,51,52.4,27,290,263,53.8,48.8,102.6,50.7,6,40.3,39.2,217,211,79.4,62,54,73,52,49.7,-2,28.8,29.1,155,157,1.9,1.9,50,6.5,4.6,93.6,53.4,71.4,48.8,159,167,103,114,109,197,116,28,19,-9,323.4
"16","PHI",8,"20142015",12,10,2,50.8,113,73.4,6.2,94.6,51.3,100.8,54.5,47.5,-18,170,188,26,28.8,54.8,50.8,12,375,363,57.4,55.6,113,50.5,5,40.3,39.5,263,258,79.8,70,72,112,105,50.9,7,29.6,28.5,193,186,1.8,1.5,54.5,6.2,4.6,94.6,51.5,73.4,51.3,182,173,133,111,111,245,214,18,20,2,391.8
"17","MIN",7,"20142015",16,9,7,50.1,106.2,71.2,9.5,94.5,50.6,104.1,50.9,53.2,18,148,130,25.7,22.6,48.3,50.1,1,306,305,53.2,53,106.2,51.4,13,41,38.8,236,223,79.8,68,58,70,82,50.5,3,29.2,28.7,168,165,2.8,1.6,64,9.5,6.8,94.5,54.9,71.2,50.6,171,167,118,106,114,105,138,14,18,4,345.3
"18","FLA",6,"20142015",10,11,-1,49.3,103.6,68.6,7.9,92.3,51.5,100.2,42.2,49.4,-3,119,122,23.9,24.5,48.5,49.3,-7,254,261,51.1,52.5,103.6,48.3,-13,37.2,39.8,185,198,77.1,58,55,69,63,47,-16,25.6,28.8,127,143,2,2.2,47.6,7.9,5.4,92.3,50,68.6,51.5,150,141,79,104,108,162,172,13,15,2,298.2
"19","NYR",7,"20142015",11,4,7,48.9,120.6,73.7,5.5,97.7,45,103.2,45.6,46.8,-19,139,158,24.8,28.1,52.9,48.9,-15,331,346,59,61.6,120.6,52.1,22,48.1,44.2,270,248,92.3,71,76,61,98,53.6,27,35.4,30.6,199,172,2,0.7,73.3,5.5,4.1,97.7,60.1,73.7,45,145,177,104,94,124,136,135,19,17,-2,336.9
"20","ARI",6,"20142015",5,8,-3,48.5,121.8,68.9,3.4,94.9,49.3,98.4,46.8,51.1,6,142,136,29,27.8,56.8,48.5,-18,289,307,59,62.7,121.8,47.6,-21,43.3,47.6,212,233,90.9,66,75,77,74,48,-12,29.8,32.3,146,158,1,1.6,38.5,3.4,2.4,94.9,50.5,68.9,49.3,141,145,94,85,107,189,183,17,12,-5,293.7
"21","S.J",6,"20142015",9,7,2,47.9,121.1,72.3,6,95.3,52.3,101.3,46,51.9,11,150,139,30.9,28.7,59.6,47.9,-25,281,306,58,63.1,121.1,49.4,-5,42.5,43.5,206,211,86,57,63,75,95,50.2,1,30.7,30.5,149,148,1.9,1.4,56.2,6,4.4,95.3,53,72.3,52.3,157,143,98,87,115,144,111,17,19,2,290.8
"22","VAN",6,"20142015",9,10,-1,47.3,108.6,70.4,6.9,92.9,47.4,99.8,44.1,45.1,-25,116,141,23.8,28.9,52.8,47.3,-29,250,279,51.3,57.3,108.6,48.4,-12,38.2,40.6,186,198,78.8,55,57,64,81,48.2,-10,26.9,28.9,131,141,1.8,2.1,47.4,6.9,4.8,92.9,52.4,70.4,47.4,126,140,83,78,105,127,138,16,15,-1,292.3
"23","BOS",7,"20142015",8,8,0,47.6,115.7,71.5,5.4,95.9,52.2,101.3,42.5,46.3,-24,150,174,27.5,31.9,59.3,47.6,-30,301,331,55.1,60.6,115.7,44.1,-55,37.9,48,207,262,85.9,59,65,94,69,42.9,-49,27.1,36.1,148,197,1.5,1.5,50,5.4,3.9,95.9,49.2,71.5,52.2,163,149,91,98,123,166,200,19,23,4,327.8
"24","N.J",6,"20142015",11,11,0,46.5,106.7,68.6,8.7,92.5,44.5,101.2,44.8,42.5,-38,108,146,21.7,29.4,51.1,46.5,-37,247,284,49.7,57.1,106.7,46.6,-27,37.2,42.6,185,212,79.8,58,65,62,72,46.4,-20,25.5,29.6,127,147,2.2,2.2,50,8.7,5.9,92.5,51.4,68.6,44.5,117,146,77,91,95,122,127,12,16,4,298.5
"25","EDM",6,"20142015",8,17,-9,46.4,112.8,76.2,5.4,88.7,40.9,94.2,50.3,47.1,-17,136,153,28,31.5,59.5,46.4,-40,254,294,52.3,60.5,112.8,47,-25,39.7,44.9,193,218,84.6,46,67,61,76,49.3,-4,30.2,31.1,147,151,1.6,3.5,32,5.4,4.1,88.7,57.9,76.2,40.9,110,159,76,118,75,154,148,17,16,-1,291.6
"26","TOR",7,"20142015",12,19,-7,45.8,110.1,75.8,8.5,90.4,50.9,98.9,47.8,45.2,-32,149,181,28,34.1,62.1,45.8,-49,268,317,50.4,59.7,110.1,42.4,-67,35,47.6,186,253,82.6,45,56,82,64,41.7,-56,26.5,37.1,141,197,2.3,3.6,38.7,8.5,6.5,90.4,52.6,75.8,50.9,176,170,108,120,118,180,162,23,24,1,318.8
"27","MTL",7,"20142015",5,9,-4,43.6,118.1,71.4,3.3,95.1,48.2,98.4,48,40.6,-56,121,177,21.1,30.9,52,43.6,-87,295,382,51.5,66.6,118.1,44.8,-49,37.2,45.7,213,262,82.9,61,78,82,120,45.2,-32,26.5,32.1,152,184,0.9,1.6,35.7,3.3,2.3,95.1,51.5,71.4,48.2,174,187,109,134,118,187,201,20,12,-8,343.9
"28","BUF",5,"20142015",6,11,-5,38.9,113.3,71.9,6,92.5,42.3,98.5,36.4,39.7,-49,94,143,22.5,34.2,56.8,38.9,-105,184,289,44.1,69.2,113.3,40.2,-68,33.3,49.6,139,207,82.9,39,61,45,82,40.7,-46,23.9,35,100,146,1.4,2.6,35.3,6,4.3,92.5,54.3,71.9,42.3,94,128,52,79,91,148,107,14,12,-2,250.5
"29","COL",6,"20142015",11,9,2,39.4,106.1,76.4,9.7,94.1,51.4,103.9,39.3,44.8,-27,116,143,23.5,29,52.6,39.4,-111,206,317,41.8,64.3,106.1,41.5,-61,30,42.4,148,209,72.4,35,56,58,108,42.5,-40,22.9,31,113,153,2.2,1.8,55,9.7,7.4,94.1,54.9,76.4,51.4,146,138,75,93,116,104,131,10,13,3,295.7
"30","CGY",7,"20142015",18,15,3,40.1,118.9,77.5,11.1,92.3,51.7,103.4,39.4,42.6,-48,138,186,24.1,32.5,56.6,40.1,-135,273,408,47.7,71.2,118.9,44.2,-55,36.5,46.1,209,264,82.6,47,69,64,144,45.4,-33,28.3,34.1,162,195,3.1,2.6,54.5,11.1,8.6,92.3,59.3,77.5,51.7,180,168,85,132,131,143,148,15,20,5,343.6
