"","teamname","season","PN","PN-","HIT","HIT-","FO_W","FO_L","CF","CA","FF","FA","SF","SA","GF","GA","ZSO","ZSN","ZSD","TOI","Gm","CF%","CF60","CA60","C+/-","CP60","FF%","FF60","FA60","F+/-","FP60","SF%","SF60","SA60","S+/-","GF%","GF60","GA60","G+/-","ZSO%","PDO","FO%","OFOn%","OCOn%","OSh%","OFenSh%","OSv%","MSF","MSA","BSF","BSA"
"1","L.A","20142015",20,30,203,203,139,166,359,253,261,183,182,119,13,13,119,116,70,328.575,7,58.6601307189542,65.5558091759872,46.1994978315453,106,111.755307007533,58.7837837837838,47.6603515179183,33.4170280757818,78,81.0773795937001,60.4651162790698,33.2344213649852,21.730198584798,63,50,2.37388724035608,2.37388724035608,0,62.962962962963,96.218487394958,45.5737704918033,69.7318007662835,50.6963788300836,7.14285714285714,4.98084291187739,89.0756302521008,79,64,98,70
"2","DET","20142015",17,16,103,157,153,108,267,199,206,165,137,124,2,7,105,84,72,288.483333333333,6,57.2961373390558,55.5318042636779,41.3888728407187,68,96.9206771043965,55.5256064690027,42.844762840141,34.3174071292391,41,77.1621699693801,52.4904214559387,28.4938471315501,25.7900514183373,13,22.2222222222222,0.415968571263505,1.45588999942227,-5,59.3220338983051,95.814692724276,58.6206896551724,66.504854368932,51.310861423221,1.45985401459854,0.970873786407767,94.3548387096774,69,41,61,34
"3","DAL","20142015",18,12,108,111,129,116,272,205,193,159,132,110,12,8,85,90,70,246.858333333333,5,57.0230607966457,66.1107922897748,49.8261486007494,67,115.936940890524,54.8295454545455,46.9094959997299,38.6456469635081,34,85.555142963238,54.5454545454545,32.0831786112143,26.7359821760119,22,60,2.91665260101948,1.94443506734632,4,54.8387096774194,101.818181818182,52.6530612244898,68.3937823834197,48.5294117647059,9.09090909090909,6.21761658031088,92.7272727272727,61,49,79,46
"4","FLA","20142015",17,18,146,131,144,151,271,222,213,166,155,122,9,10,97,114,84,287.758333333333,6,54.9695740365112,56.5057484579074,46.2888419101677,49,102.794590368075,56.2005277044855,44.4122672381339,34.6123772841794,47,79.0246445223133,55.956678700361,32.3187860183603,25.438012220903,33,47.3684210526316,1.87657467203382,2.08508296892647,-1,53.5911602209945,97.6097303014278,48.8135593220339,72.7699530516432,57.1955719557196,5.80645161290323,4.22535211267606,91.8032786885246,58,44,58,56
"5","WPG","20142015",24,20,184,166,123,124,264,219,191,158,140,113,12,9,83,95,69,277.675,6,54.6583850931677,57.0451066894751,47.3215089583146,45,104.36661564779,54.7277936962751,41.2712703700369,34.1406320338525,33,75.4119024038894,55.3359683794466,30.2511929413883,24.417034302692,27,57.1428571428571,2.59295939497614,1.94471954623211,3,54.6052631578947,100.606826801517,49.7975708502024,73.2984293193717,53.030303030303,8.57142857142857,6.28272251308901,92.0353982300885,51,45,73,61
"6","CHI","20142015",16,14,113,192,182,152,339,295,259,221,190,160,16,11,122,119,93,354.608333333333,7,53.4700315457413,57.3590581157615,49.9142246140108,44,107.273282729772,53.9583333333333,43.8229972034874,37.3933682701572,38,81.2163654736446,54.2857142857143,32.148144666651,27.0721218245482,30,59.2592592592593,2.70721218245482,1.86120837543769,5,56.7441860465116,101.546052631579,54.4910179640719,73.3590733590734,56.047197640118,8.42105263157895,6.17760617760618,93.125,69,61,80,74
"7","T.B","20142015",19,21,136,163,137,139,302,271,222,207,158,155,10,12,90,111,75,322.283333333333,7,52.7050610820244,56.2238196204168,50.4525003878575,31,106.676320008274,51.7482517482517,41.3300925686508,38.5375187464446,15,79.8676113150954,50.4792332268371,29.4151109272379,28.8565961627967,3,45.4545454545455,1.86171588147076,2.23405905776491,-2,54.5454545454545,98.5871784401797,49.6376811594203,71.1711711711712,52.317880794702,6.32911392405063,4.5045045045045,92.258064516129,64,52,80,64
"8","NYI","20142015",14,18,168,115,125,148,284,254,214,176,158,135,14,12,82,108,83,296.133333333333,6,52.7881040892193,57.5416479063485,51.4633048176497,30,109.004952723998,54.8717948717949,43.3588473660513,35.6596127870329,38,79.0184601530842,53.9249146757679,32.0126069338136,27.3525438991445,23,53.8461538461538,2.83656010805943,2.43133723547951,2,49.6969696969697,99.971870604782,45.7875457875458,73.8317757009346,55.6338028169014,8.86075949367089,6.54205607476636,91.1111111111111,56,41,70,78
"9","BOS","20142015",18,9,141,135,169,132,265,247,198,191,148,145,9,11,99,116,86,301.9,6,51.7578125,52.6664458429944,49.0891023517721,18,101.755548194766,50.8997429305913,39.3507784034448,37.9595892679695,7,77.3103676714144,50.5119453924915,29.4137131500497,28.817489234846,3,45,1.78867174561113,2.18615435574694,-2,53.5135135135135,98.4948741845294,56.1461794019934,74.7474747474748,55.8490566037736,6.08108108108108,4.54545454545455,92.4137931034483,50,46,67,56
"10","ANA","20142015",17,18,171,188,159,152,274,258,203,186,136,133,9,11,112,100,99,290.408333333333,6,51.5037593984962,56.6099457660191,53.30425550231,16,109.914201268329,52.1850899742931,41.9409452208098,38.4286493156188,17,80.3695945364286,50.5576208178439,28.0983672415277,27.4785503170823,3,45,1.85945077333639,2.27266205630004,-2,53.0805687203791,98.3469703670942,51.1254019292604,66.9950738916256,49.6350364963504,6.61764705882353,4.43349753694581,91.7293233082707,67,53,71,72
