Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA
1,Anaheim Ducks,,43,27,10,6,60,.698,121,118,0.03,-0.04,5.56,24,146,16.44,28,142,80.28,5,4
2,Nashville Predators,,41,28,9,4,60,.732,125,93,0.76,-0.02,5.32,19,132,14.39,22,119,81.51,1,2
3,Tampa Bay Lightning,,44,27,13,4,58,.659,143,118,0.49,-0.08,5.93,31,162,19.14,27,139,80.58,4,4
4,Chicago Blackhawks,,43,28,13,2,58,.674,134,95,0.95,0.04,5.33,29,157,18.47,13,120,89.17,2,4
5,New York Islanders,,42,28,13,1,57,.679,131,116,0.38,0.02,5.88,29,156,18.59,28,119,76.47,6,1
6,Pittsburgh Penguins,,41,25,10,6,56,.683,122,98,0.60,0.01,5.37,29,134,21.64,18,153,88.24,3,5
7,St. Louis Blues,,42,26,13,3,55,.655,136,105,0.76,0.02,5.74,38,145,26.21,28,142,80.28,1,2
8,Montreal Canadiens,,41,26,12,3,55,.671,111,95,0.41,0.02,5.02,16,117,13.68,21,143,85.31,2,2
9,Washington Capitals,,42,23,11,8,54,.643,125,106,0.39,-0.06,5.50,30,125,24.00,29,138,78.99,1,1
10,Detroit Red Wings,,42,22,11,9,53,.631,117,106,0.22,-0.04,5.31,38,157,24.20,20,146,86.30,0,4
11,New York Rangers,,39,24,11,4,52,.667,124,95,0.72,-0.02,5.62,25,121,20.66,22,124,82.26,4,4
12,Los Angeles Kings,,43,20,13,10,50,.581,121,112,0.13,-0.08,5.42,30,150,20.00,29,139,79.14,5,1
13,Boston Bruins,,43,22,15,6,50,.581,113,111,-0.03,-0.08,5.21,19,101,18.81,26,135,80.74,4,0
14,Winnipeg Jets,,43,21,14,8,50,.581,113,109,0.06,-0.04,5.16,25,149,16.78,31,177,82.49,6,3
15,San Jose Sharks,,43,22,16,5,49,.570,116,118,-0.11,-0.07,5.44,29,138,21.01,23,121,80.99,3,3
16,Vancouver Canucks,,40,23,14,3,49,.613,113,104,0.19,-0.04,5.43,24,122,19.67,16,132,87.88,4,1
17,Florida Panthers,,40,20,11,9,49,.613,100,105,-0.26,-0.13,5.13,16,120,13.33,25,136,81.62,0,1
18,Toronto Maple Leafs,,43,22,18,3,47,.547,137,132,0.18,0.06,6.26,31,153,20.26,25,141,82.27,6,6
19,Calgary Flames,,43,22,18,3,47,.547,123,114,0.20,-0.01,5.51,26,146,17.81,25,105,76.19,2,2
20,Colorado Avalanche,,43,18,17,8,44,.512,113,124,-0.15,0.11,5.51,20,136,14.71,23,154,85.06,3,1
21,Dallas Stars,,41,18,16,7,43,.524,126,135,-0.20,0.02,6.37,22,144,15.28,29,142,79.58,3,4
22,Ottawa Senators,,41,17,16,8,42,.512,110,113,-0.04,0.04,5.44,25,148,16.89,26,151,82.78,4,4
23,Philadelphia Flyers,,43,17,19,7,41,.477,119,129,-0.23,0.00,5.77,34,146,23.29,38,146,73.97,1,3
24,Minnesota Wild,,41,18,18,5,41,.500,111,121,-0.18,0.06,5.66,20,140,14.29,19,125,84.80,3,3
25,Columbus Blue Jackets,,40,18,19,3,39,.488,104,131,-0.64,0.04,5.88,34,139,24.46,30,149,79.87,1,2
26,New Jersey Devils,,44,15,21,8,38,.432,96,124,-0.52,0.11,5.00,24,125,19.20,33,155,78.71,2,5
27,Arizona Coyotes,,41,16,21,4,36,.439,97,136,-1.00,-0.05,5.68,29,133,21.80,36,142,74.65,2,3
28,Buffalo Sabres,,43,14,26,3,31,.360,81,147,-1.44,0.09,5.30,11,120,9.17,35,143,75.52,5,6
29,Carolina Hurricanes,,42,13,24,5,31,.369,88,112,-0.51,0.06,4.76,23,129,17.83,15,113,86.73,2,1
30,Edmonton Oilers,,43,10,24,9,29,.337,97,145,-1.09,0.03,5.63,17,126,13.49,27,126,78.57,2,5
