Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA
1,Montreal Canadiens,,19,14,4,1,29,.763,55,47,0.45,0.03,5.37,7,54,12.96,12,78,84.62,2,0
2,Tampa Bay Lightning,,18,12,4,2,26,.722,66,48,1.02,0.02,6.33,15,63,23.81,11,59,81.36,2,1
3,Anaheim Ducks,,19,11,4,4,26,.684,51,46,0.19,-0.07,5.11,12,67,17.91,11,58,81.03,2,2
4,St. Louis Blues,,17,12,4,1,25,.735,49,33,0.90,-0.04,4.82,16,61,26.23,12,56,78.57,1,0
5,Pittsburgh Penguins,,16,12,3,1,25,.781,60,35,1.42,-0.14,5.94,21,64,32.81,8,66,87.88,1,3
6,Vancouver Canucks,,18,12,6,0,24,.667,53,52,-0.05,-0.11,5.83,11,61,18.03,9,63,85.71,1,1
7,Calgary Flames,,19,11,6,2,24,.632,59,50,0.54,0.06,5.74,13,59,22.03,12,54,77.78,1,1
8,Nashville Predators,,17,11,4,2,24,.706,43,35,0.65,0.18,4.59,7,51,13.73,12,43,72.09,0,2
9,New York Islanders,,17,11,6,0,22,.647,54,50,0.11,-0.13,6.12,13,68,19.12,15,57,73.68,2,0
10,Boston Bruins,,19,11,8,0,22,.579,51,49,-0.12,-0.22,5.26,11,50,22.00,13,59,77.97,2,0
11,San Jose Sharks,,20,10,8,2,22,.550,56,53,-0.04,-0.19,5.45,14,61,22.95,10,61,83.61,0,3
12,Los Angeles Kings,,18,9,5,4,22,.611,45,40,0.13,-0.15,4.72,8,57,14.04,10,67,85.07,5,0
13,Winnipeg Jets,,19,9,7,3,21,.553,37,42,-0.07,0.19,4.16,6,62,9.68,9,73,87.67,2,1
14,Chicago Blackhawks,,18,10,7,1,21,.583,51,36,0.98,0.14,4.83,13,72,18.06,4,52,92.31,2,4
15,Detroit Red Wings,,17,8,4,5,21,.618,45,42,0.34,0.16,5.12,12,68,17.65,7,61,88.52,0,1
16,Minnesota Wild,,17,10,7,0,20,.588,50,39,0.56,-0.09,5.24,5,54,9.26,6,56,89.29,3,1
17,Ottawa Senators,,17,8,5,4,20,.588,47,45,0.16,0.04,5.41,12,66,18.18,10,61,83.61,1,2
18,Toronto Maple Leafs,,18,9,7,2,20,.556,56,51,0.19,-0.09,5.94,14,68,20.59,10,63,84.13,3,2
19,New Jersey Devils,,18,8,8,2,18,.500,46,53,-0.24,0.15,5.50,11,59,18.64,21,70,70.00,1,1
20,New York Rangers,,17,7,6,4,18,.529,49,53,-0.09,0.15,6.00,7,49,14.29,11,56,80.36,1,3
21,Colorado Avalanche,,19,6,8,5,17,.447,47,61,-0.62,0.12,5.68,9,67,13.43,9,76,88.16,2,1
22,Arizona Coyotes,,18,8,9,1,17,.472,47,57,-0.55,0.01,5.78,14,70,20.00,14,61,77.05,0,2
23,Florida Panthers,,15,6,4,5,17,.567,33,37,-0.40,-0.13,4.67,8,51,15.69,12,59,79.66,0,1
24,Washington Capitals,,17,7,7,3,17,.500,50,49,0.06,0.01,5.82,14,54,25.93,11,57,80.70,0,0
25,Philadelphia Flyers,,16,7,7,2,16,.500,51,53,-0.07,0.06,6.50,14,57,24.56,15,52,71.15,0,1
26,Dallas Stars,,18,6,8,4,16,.444,49,61,-0.38,0.29,6.11,10,63,15.87,13,64,79.69,1,2
27,Edmonton Oilers,,18,6,10,2,14,.389,44,60,-0.93,-0.04,5.78,8,58,13.79,9,48,81.25,1,2
28,Columbus Blue Jackets,,17,6,10,1,13,.382,44,59,-1.02,-0.14,6.06,17,69,24.64,15,63,76.19,1,1
29,Carolina Hurricanes,,17,5,9,3,13,.382,37,51,-1.08,-0.25,5.18,11,58,18.97,10,51,80.39,1,0
30,Buffalo Sabres,,19,4,13,2,10,.263,30,68,-1.83,0.17,5.16,4,57,7.02,16,74,78.38,2,2
