Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA
1,Montreal Canadiens,,23,16,6,1,33,.717,61,57,0.29,0.12,5.13,8,63,12.70,13,83,84.34,2,0
2,Anaheim Ducks,,22,13,4,5,31,.705,60,54,0.22,-0.06,5.18,14,75,18.67,11,67,83.58,2,2
3,Tampa Bay Lightning,,22,14,6,2,30,.682,77,60,0.82,0.05,6.23,17,74,22.97,14,74,81.08,3,2
4,Vancouver Canucks,,21,14,6,1,29,.690,65,61,0.04,-0.15,6.00,13,69,18.84,11,75,85.33,2,1
5,St. Louis Blues,,21,14,6,1,29,.690,57,43,0.69,0.03,4.76,18,72,25.00,14,64,78.13,1,0
6,New York Islanders,,20,14,6,0,28,.700,68,57,0.62,0.07,6.25,15,77,19.48,15,61,75.41,3,0
7,Calgary Flames,,22,13,7,2,28,.636,71,61,0.50,0.05,6.00,16,76,21.05,16,61,73.77,1,1
8,Nashville Predators,,20,13,5,2,28,.700,57,42,0.86,0.11,4.95,9,61,14.75,13,51,74.51,0,2
9,Pittsburgh Penguins,,19,13,4,2,28,.737,69,44,1.37,0.05,5.95,22,66,33.33,9,72,87.50,1,3
10,Boston Bruins,,22,13,9,0,26,.591,57,54,-0.06,-0.19,5.05,11,54,20.37,14,66,78.79,2,0
11,Los Angeles Kings,,21,11,6,4,26,.619,57,49,0.17,-0.21,5.05,13,71,18.31,14,81,82.72,5,0
12,Detroit Red Wings,,20,10,5,5,25,.625,55,49,0.38,0.08,5.20,15,80,18.75,7,71,90.14,0,2
13,Chicago Blackhawks,,21,12,8,1,25,.595,63,44,0.99,0.09,5.10,17,85,20.00,6,62,90.32,2,4
14,Toronto Maple Leafs,,21,11,8,2,24,.571,67,63,0.27,0.08,6.19,15,78,19.23,11,73,84.93,4,3
15,San Jose Sharks,,23,10,9,4,24,.522,62,64,-0.33,-0.24,5.48,17,72,23.61,12,70,82.86,1,3
16,Winnipeg Jets,,22,10,9,3,23,.523,45,51,-0.04,0.23,4.36,6,71,8.45,13,84,84.52,2,1
17,New York Rangers,,20,9,7,4,22,.550,57,58,0.09,0.14,5.75,9,58,15.52,12,64,81.25,1,3
18,Minnesota Wild,,19,11,8,0,22,.579,54,43,0.53,-0.05,5.11,6,62,9.68,8,61,86.89,3,1
19,Ottawa Senators,,19,9,6,4,22,.579,52,50,0.20,0.09,5.37,15,73,20.55,11,67,83.58,1,2
20,Washington Capitals,,20,9,8,3,21,.525,56,54,-0.10,-0.20,5.50,15,59,25.42,11,62,82.26,0,0
21,New Jersey Devils,,21,9,9,3,21,.500,53,61,-0.35,0.03,5.43,13,65,20.00,22,85,74.12,1,1
22,Dallas Stars,,21,8,9,4,20,.476,61,72,-0.34,0.19,6.33,12,73,16.44,16,74,78.38,2,2
23,Florida Panthers,,18,7,5,6,20,.556,40,47,-0.47,-0.08,4.83,10,62,16.13,16,72,77.78,0,1
24,Arizona Coyotes,,22,9,11,2,20,.455,54,67,-0.62,-0.02,5.50,16,81,19.75,15,72,79.17,0,3
25,Colorado Avalanche,,21,7,9,5,19,.452,53,67,-0.58,0.09,5.71,9,71,12.68,9,77,88.31,2,1
26,Philadelphia Flyers,,19,8,9,2,18,.474,57,60,-0.20,-0.04,6.16,16,68,23.53,18,64,71.88,0,1
27,Carolina Hurricanes,,20,6,11,3,15,.375,48,62,-0.93,-0.23,5.50,13,65,20.00,11,60,81.67,1,1
28,Columbus Blue Jackets,,20,6,12,2,14,.350,49,72,-1.27,-0.12,6.05,18,77,23.38,18,73,75.34,1,1
29,Buffalo Sabres,,21,6,13,2,14,.333,36,70,-1.52,0.10,5.05,4,60,6.67,18,79,77.22,2,2
30,Edmonton Oilers,,21,6,13,2,14,.333,49,74,-1.17,0.03,5.86,9,69,13.04,13,62,79.03,1,3
