"","teamname","season","PN","PN-","HIT","HIT-","FO_W","FO_L","CF","CA","FF","FA","SF","SA","GF","GA","ZSO","ZSN","ZSD","TOI","Gm","CF%","CF60","CA60","C+/-","CP60","FF%","FF60","FA60","F+/-","FP60","SF%","SF60","SA60","S+/-","GF%","GF60","GA60","G+/-","ZSO%","PDO","FO%","OFOn%","OCOn%","OSh%","OFenSh%","OSv%","MSF","MSA","BSF","BSA"
"1","CHI","20142015",90,101,495,823,828,746,1654,1368,1219,1030,924,771,71,49,583,530,461,1611.48333333333,34,54.7319655857048,61.5830135796213,50.934439284717,286,112.517452864338,54.2018674966652,45.3867554737354,38.3497605725574,189,83.7365160462927,54.5132743362832,34.4030861835369,28.7064712635357,153,59.1666666666667,2.64352718509861,1.82440608549059,22,55.8429118773946,101.328600064009,52.6048284625159,75.7998359310911,55.8645707376058,7.68398268398268,5.82444626743232,93.6446173800259,295,259,435,338
"2","T.B","20142015",106,97,671,709,749,733,1529,1319,1140,963,831,694,75,57,496,585,401,1642.79166666667,35,53.686797752809,55.8439647956984,48.1740938950465,210,104.018058690745,54.2082738944365,41.63644203211,35.1718365587034,177,76.8082785908134,54.4918032786885,30.3507748497223,25.3470971669161,137,56.8181818181818,2.73923960737566,2.0818221016055,18,55.2954292084727,100.812014273973,50.5398110661269,72.8947368421053,54.3492478744277,9.02527075812274,6.57894736842105,91.7867435158501,309,269,389,356
"3","L.A","20142015",111,106,960,831,788,796,1579,1383,1198,1093,825,755,62,51,532,583,469,1603.30833333333,34,53.3085752869683,59.090318456109,51.7554847528808,196,110.84580320899,52.2915757311218,44.8322998799358,40.9029246817778,105,85.7352245617135,52.2151898734177,30.8736622712412,28.2540788058026,70,54.8672566371681,2.32020249795995,1.90855366767673,11,53.1468531468531,100.760184627734,49.7474747474747,68.864774624374,52.248258391387,7.51515151515152,5.17529215358932,93.2450331125828,373,338,381,290
"4","NSH","20142015",74,81,552,559,734,826,1487,1316,1088,952,794,688,65,38,532,515,513,1504.60833333333,31,53.0503032465216,59.2978239076615,52.4787735457179,171,111.776597453379,53.3333333333333,43.3867063964598,37.9633680969023,136,81.3500744933621,53.5762483130904,31.6627250724164,27.4357113977613,106,63.1067961165049,2.5920366872885,1.51534452487635,27,50.9090909090909,102.663142170933,47.0512820512821,72.9779411764706,53.3960995292535,8.18639798488665,5.97426470588235,94.4767441860465,294,264,399,364
"5","MIN","20142015",80,89,482,606,705,717,1408,1237,1061,897,752,636,63,64,465,515,442,1451.66666666667,31,53.2325141776938,58.195177956372,51.1274397244546,171,109.322617680827,54.1879468845761,43.8530424799082,37.0746268656716,164,80.9276693455798,54.178674351585,31.0815154994259,26.2870264064294,116,49.6062992125984,2.60390355912744,2.64523536165327,-1,51.2679162072767,98.3147664927071,49.57805907173,70.8765315739868,53.4090909090909,8.37765957446809,5.937794533459,89.937106918239,309,261,347,340
"6","DET","20142015",88,106,571,696,830,680,1357,1192,1021,925,761,688,56,51,541,546,423,1566.04166666667,34,53.2365633581797,51.9909538379673,45.6692829586271,165,97.6602367965944,52.4665981500514,39.11773313822,35.4396700811494,96,74.5574032193694,52.5189786059351,29.1563123586537,26.3594519090062,73,52.3364485981308,2.14553678329121,1.95397099906878,5,56.1203319502075,99.9459478042967,54.9668874172185,74.5347698334966,56.0795873249816,7.35873850197109,5.48481880509305,92.5872093023256,260,237,336,267
"7","NYI","20142015",88,109,922,711,734,797,1578,1423,1182,990,827,711,68,60,498,583,450,1608.49166666667,33,52.5824725091636,58.8625990187495,53.0807847932069,155,111.943383811956,54.4198895027624,44.0909962231697,36.9290069889493,192,81.020003212119,53.7711313394018,30.8487765453142,26.5217413829727,116,53.125,2.53653785378641,2.2381216356939,8,52.5316455696203,99.7836723656753,47.9425212279556,69.9661590524535,52.4081115335868,8.22249093107618,5.75296108291032,91.5611814345992,355,279,396,433
"8","BOS","20142015",110,70,766,794,836,749,1560,1423,1138,1078,805,800,61,59,516,562,507,1681.04166666667,34,52.2963459604425,55.6797620522989,50.7899367951419,137,106.469698847441,51.3537906137184,40.6176725740488,38.476143264345,60,79.0938158383939,50.1557632398754,28.7321849051927,28.5537241293841,5,50.8333333333333,2.17722146486553,2.10583715454207,2,50.4398826979472,100.202639751553,52.7444794952681,70.7381370826011,51.6025641025641,7.57763975155279,5.36028119507909,92.625,333,278,422,345
"9","WPG","20142015",121,99,867,722,692,741,1448,1318,1051,978,763,692,52,48,472,531,430,1565.08333333333,34,52.3499638467101,55.5114211170864,50.5276609339226,130,106.039082051009,51.7989157220306,40.2917842500399,37.4932112241095,73,77.7849954741494,52.4398625429553,29.2508386134924,26.528938821149,71,52,1.99350407326553,1.84015760609126,4,52.3281596452328,99.8787869605073,48.2903000697837,72.5975261655566,52.6933701657459,6.81520314547837,4.9476688867745,93.0635838150289,288,286,397,340
"10","S.J","20142015",88,98,744,764,889,824,1651,1524,1156,1104,797,789,59,61,536,587,590,1667.06666666667,34,52,59.4217387826922,54.8508357994081,127,114.2725745821,51.1504424778761,41.6060145565064,39.7344637287051,52,81.3404782852115,50.2522068095839,28.6851155722627,28.3971846756778,8,49.1666666666667,2.12349036231304,2.19547308645925,-2,47.6021314387211,99.6714549013808,51.89725627554,68.9446366782007,48.2737734706239,7.40276035131744,5.1038062283737,92.2686945500634,359,315,495,420
"11","FLA","20142015",84,97,756,761,714,744,1351,1243,1039,947,764,677,49,47,466,519,473,1463.025,31,52.0817270624518,55.4057517814118,50.9765725124314,108,106.382324293843,52.3162134944612,42.6103450043574,38.8373404418926,92,81.4476854462501,53.0187369882026,31.3323422361204,27.7643922694417,87,51.0416666666667,2.00953503870406,1.9275132003896,2,49.6272630457934,99.4712196555484,48.9711934156379,73.5322425409047,56.5507031828275,6.41361256544503,4.71607314725698,93.0576070901034,275,270,312,296
"12","CAR","20142015",72,96,681,794,797,740,1488,1407,1078,1033,752,718,45,66,510,555,472,1592.80833333333,33,51.3989637305699,56.0519418009072,53.0007272270675,81,109.052669027975,51.0658455708195,40.6075223530766,38.9124031453879,45,79.5199254984645,51.156462585034,28.3273254262649,27.0465686915668,34,40.5405405405405,1.69511920768873,2.48617483794346,-21,51.9348268839104,96.7918419960884,51.8542615484711,69.7588126159555,50.5376344086022,5.98404255319149,4.17439703153989,90.8077994428969,326,315,410,374
"13","WSH","20142015",90,86,827,786,733,730,1391,1342,1007,972,733,702,60,58,484,557,422,1552.05,32,50.8964507866813,53.7740407847685,51.8797719145646,49,105.653812699333,50.8842849924204,38.9291582101092,37.5761090171064,35,76.5052672272156,51.0801393728223,28.3367159563158,27.1383009567991,31,50.8474576271186,2.31951290229052,2.2421958055475,2,53.4216335540839,99.9234306192014,50.1025290498975,72.7904667328699,52.6959022286125,8.18553888130969,5.95829195630586,91.7378917378917,274,270,384,370
"14","PIT","20142015",120,104,833,779,659,712,1326,1286,986,935,734,686,63,40,424,533,414,1490.03333333333,32,50.7656967840735,53.3947786402989,51.7840764188721,40,105.178855059171,51.3274336283186,39.703809758171,37.6501644258518,51,77.3539741840227,51.6901408450704,29.556385763182,27.6235430974699,48,61.1650485436893,2.53685599874723,1.61070222142681,23,50.5966587112172,102.752202476943,48.0671043034282,74.4421906693712,55.3544494720965,8.58310626702997,6.3894523326572,94.1690962099125,252,249,340,351
"15","VAN","20142015",89,98,567,659,743,765,1379,1344,1047,975,783,717,56,68,481,584,443,1531.81666666667,32,50.6426735218509,54.0142967500462,52.6433755127354,35,106.657672262782,51.7804154302671,41.0101295846979,38.1899487536585,72,79.2000783383564,52.2,30.6694665375535,28.0843007757673,66,45.1612903225806,2.19347397969731,2.66350411820388,-12,52.0562770562771,97.6680186173766,49.2705570291777,74.785100286533,56.7802755620014,7.15197956577267,5.34861509073543,90.5160390516039,264,258,332,369
"16","DAL","20142015",92,95,579,600,820,803,1495,1460,1115,1078,771,761,68,70,518,620,485,1515.63333333333,32,50.5922165820643,59.1831797488399,57.7976203567266,35,116.980800105566,50.843593251254,44.1399634916097,42.6752292770899,37,86.8151927686995,50.3263707571802,30.521894037696,30.1260199256636,10,49.2753623188406,2.69194396182014,2.77111878422662,-2,51.6450648055833,99.6212915288267,50.5237215033888,69.1479820627803,51.5719063545151,8.81971465629053,6.09865470852018,90.8015768725361,344,317,380,382
"17","ANA","20142015",97,115,925,898,886,796,1526,1500,1144,1106,797,769,63,59,534,610,538,1656.65,35,50.4296100462657,55.2681616515257,54.326502278695,26,109.594663930221,50.8444444444444,41.4330124045514,40.0567410134911,38,81.4897534180424,50.8939974457216,28.8654815440799,27.8513868348776,28,51.6393442622951,2.28171309570519,2.136842422962,4,49.8134328358209,100.232340718527,52.6753864447087,69.6678321678322,52.2280471821756,7.90464240903388,5.50699300699301,92.3276983094928,347,337,382,394
"18","STL","20142015",109,95,605,715,872,759,1395,1372,1067,994,777,706,60,51,507,574,550,1569.275,33,50.415612576798,53.33673193035,52.4573449522869,23,105.794076882637,51.7709849587579,40.7959089388412,38.0048111389017,73,78.8007200777429,52.3937963587323,29.7079861719584,26.993356804894,71,54.0540540540541,2.29405298625161,1.94994503831387,9,47.9659413434248,100.498211688013,53.4641324340895,72.8209934395501,55.6989247311828,7.72200772200772,5.6232427366448,92.7762039660057,290,288,328,378
"19","EDM","20142015",92,87,747,773,823,836,1497,1484,1071,1110,774,815,53,79,513,634,512,1666.68333333333,34,50.2180476350218,53.8914610853891,53.4234657653423,13,107.314926850731,49.1059147180193,38.5556144438556,39.959600403996,-39,78.5152148478515,48.7098804279421,27.8637213627864,29.339706602934,-41,40.1515151515151,1.9079809201908,2.8439715602844,-26,50.0487804878049,97.1542936858959,49.6081977094635,72.2689075630252,51.7034068136273,6.84754521963824,4.94864612511671,90.3067484662577,297,295,426,374
"20","MTL","20142015",110,90,583,757,898,737,1516,1512,1067,1066,763,772,66,56,500,593,542,1618.09166666667,34,50.0660501981506,56.2143677480159,56.0660448779684,4,112.280412625984,50.0234411626817,39.5651255851801,39.5280448676682,1,79.0931704528483,49.7068403908795,28.2925874615674,28.6263139191743,-9,54.0983606557377,2.44732735578433,2.0765201806655,10,47.9846449136276,101.396179520437,54.9235474006116,71.5089034676664,50.3298153034301,8.65006553079948,6.18556701030928,92.7461139896373,304,294,449,446
"21","N.J","20142015",105,89,576,632,734,814,1327,1335,978,1042,716,781,48,55,469,586,493,1645.78333333333,35,49.8497370398197,48.378178577577,48.669833007585,-8,97.0480115851621,48.4158415841584,35.654754068478,37.987989508542,-64,73.6427435770201,47.8289913159653,26.103071485716,28.472763729531,-65,46.6019417475728,1.749926580048,2.005124206305,-7,48.7525987525988,99.6616570933984,47.4160206718346,73.2106339468303,53.956292388847,6.70391061452514,4.9079754601227,92.9577464788732,262,261,349,293
