Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA
1,Anaheim Ducks,,35,22,8,5,49,.700,101,96,0.09,-0.05,5.63,20,119,16.81,23,114,79.82,5,4
2,Pittsburgh Penguins,,32,22,6,4,48,.750,102,72,0.93,-0.01,5.44,26,107,24.30,17,122,86.07,3,5
3,Chicago Blackhawks,,34,23,9,2,48,.706,106,67,1.22,0.07,5.09,23,127,18.11,8,95,91.58,2,4
4,New York Islanders,,33,23,10,0,46,.697,104,91,0.50,0.11,5.91,22,119,18.49,26,94,72.34,5,0
5,St. Louis Blues,,33,21,9,3,45,.682,100,81,0.63,0.06,5.48,29,114,25.44,23,109,78.90,1,0
6,Tampa Bay Lightning,,35,20,11,4,44,.629,113,93,0.53,-0.04,5.89,24,120,20.00,22,115,80.87,4,3
7,Nashville Predators,,31,21,8,2,44,.710,87,64,0.71,-0.03,4.87,12,100,12.00,17,83,79.52,0,2
8,Montreal Canadiens,,34,21,11,2,44,.647,92,83,0.28,0.01,5.15,15,96,15.63,17,122,86.07,2,2
9,Detroit Red Wings,,34,17,8,9,43,.632,94,84,0.31,0.02,5.24,28,127,22.05,15,123,87.80,0,2
10,San Jose Sharks,,34,19,11,4,42,.618,97,87,0.12,-0.18,5.41,25,101,24.75,15,94,84.04,2,3
11,Winnipeg Jets,,34,17,10,7,41,.603,83,80,0.03,-0.06,4.79,17,113,15.04,20,132,84.85,5,3
12,Toronto Maple Leafs,,34,19,12,3,41,.603,114,102,0.45,0.10,6.35,25,123,20.33,19,114,83.33,6,5
13,Vancouver Canucks,,32,19,11,2,40,.625,92,90,-0.02,-0.09,5.69,18,102,17.65,14,106,86.79,4,1
14,Los Angeles Kings,,34,17,11,6,40,.588,94,84,0.18,-0.11,5.24,22,120,18.33,23,117,80.34,5,1
15,Washington Capitals,,32,16,10,6,38,.594,95,85,0.13,-0.18,5.63,23,91,25.27,22,96,77.08,0,0
16,New York Rangers,,31,17,10,4,38,.613,93,81,0.45,0.06,5.61,15,95,15.79,17,96,82.29,3,4
17,Calgary Flames,,35,17,15,3,37,.529,100,95,0.16,0.01,5.57,23,120,19.17,20,88,77.27,1,2
18,Boston Bruins,,34,17,14,3,37,.544,86,88,-0.09,-0.04,5.12,13,78,16.67,22,107,79.44,3,0
19,Florida Panthers,,31,14,9,8,36,.581,69,79,-0.46,-0.13,4.77,13,97,13.40,20,108,81.48,0,1
20,Minnesota Wild,,31,16,12,3,35,.565,91,84,0.24,0.01,5.65,14,101,13.86,13,96,86.46,3,1
21,Ottawa Senators,,33,14,13,6,34,.515,89,92,0.02,0.11,5.48,23,117,19.66,20,117,82.91,4,4
22,Dallas Stars,,32,14,13,5,33,.516,95,109,-0.41,0.03,6.38,17,110,15.45,23,111,79.28,2,4
23,Philadelphia Flyers,,33,13,14,6,32,.485,92,99,-0.21,0.01,5.79,25,111,22.52,27,111,75.68,1,2
24,Colorado Avalanche,,33,12,13,8,32,.485,85,101,-0.37,0.11,5.64,15,107,14.02,17,120,85.83,3,1
25,Columbus Blue Jackets,,32,14,15,3,31,.484,79,102,-0.68,0.04,5.66,27,117,23.08,24,115,79.13,1,2
26,New Jersey Devils,,35,12,17,6,30,.429,77,102,-0.59,0.12,5.11,22,102,21.57,28,128,78.13,1,4
27,Buffalo Sabres,,34,13,18,3,29,.426,66,109,-1.16,0.10,5.15,9,97,9.28,25,116,78.45,2,5
28,Arizona Coyotes,,32,11,17,4,26,.406,74,104,-1.01,-0.07,5.56,21,106,19.81,26,105,75.24,2,3
29,Carolina Hurricanes,,33,9,20,4,22,.333,68,92,-0.71,0.02,4.85,19,106,17.92,15,89,83.15,2,1
30,Edmonton Oilers,,34,7,20,7,21,.309,74,116,-1.26,-0.03,5.59,13,97,13.40,20,97,79.38,2,5
