"","teamname","season","PN","PN-","PenD","HIT","HIT-","FO_W","FO_L","CF","CA","FF","FA","SF","SA","GF","GA","SCF","SCA","ZSO","ZSN","ZSD","TOI","Gm","CF%","CF60","CA60","C+/-","CP60","FF%","FF60","FA60","F+/-","FP60","SF%","SF60","SA60","S+/-","GF%","GF60","GA60","G+/-","SCF%","SCF60","SCA60","SC+/-","SCP60","ZSO%","PDO","FO%","OFOn%","OCOn%","OSh%","OFenSh%","OSv%","MSF","MSA","BSF","BSA"
"19","NYR","20142015",108,107,-1,907,922,887,1056,1802,1838,1322,1361,972,981,88,70,830,796,598,740,605,2073.93333333333,43,49.5054945054945,52.1328232987238,53.1743225433154,-36,105.307145842039,49.2732016399553,38.2461667041692,39.3744575524768,-39,77.620624256646,49.7695852534562,28.1204796039731,28.380854415121,-9,55.6962025316456,2.54588704233502,2.02513742003922,18,51.0455104551045,24.0123436947507,23.0287055193031,34,47.0410492140538,49.7090606816293,101.917921999471,45.6510550694802,73.5249621785174,53.9400665926748,9.05349794238683,6.65658093797277,92.8644240570846,350,380,480,477
"20","VAN","20142015",127,124,-3,746,938,971,1032,1834,1884,1380,1361,1003,987,74,80,860,919,630,765,608,2059.20833333333,43,49.3275954814416,53.4380121810566,54.8948827421541,-50,108.332894923211,50.3465888361912,40.2096274862912,39.6560166730742,19,79.8656441593654,50.4020100502513,29.224823455616,28.7586248760648,16,48.0519480519481,2.15616843042431,2.33099289775601,-6,48.3417650365374,25.0581736508772,26.7772809129722,-59,51.8354545638494,50.8885298869144,99.2724965933001,48.4772840738892,72.6811594202899,54.6892039258451,7.37786640079761,5.36231884057971,91.8946301925025,377,374,454,523
"21","EDM","20142015",130,120,-10,996,1060,1060,1117,1968,2039,1397,1509,994,1097,70,108,863,980,666,817,694,2242.40833333333,46,49.1140504117794,52.6576708821245,54.5574140897621,-71,107.215084971887,48.072952512044,37.3794543812642,40.3762323989461,-112,77.7556867802103,47.5370636059302,26.5964049069267,29.3523704053306,-103,39.3258426966292,1.87298626105118,2.8897502313361,-38,46.825827455236,23.0912449041024,26.2218076547165,-117,49.3130525588188,48.9705882352941,97.1972216159308,48.690858980248,71.1524695776664,50.5081300813008,7.04225352112676,5.01073729420186,90.154968094804,403,412,571,530
"22","ARI","20142015",120,138,18,1235,1260,1130,1009,1949,2024,1402,1504,976,1057,64,98,880,996,694,796,649,2166.46666666667,45,49.0561288698716,53.9772902114041,56.054405022002,-75,110.031695233406,48.2450103234687,38.8281995261101,41.6530756685233,-102,80.4812751946334,48.0078701426463,27.030187401914,29.2734713973598,-81,39.5061728395062,1.77247130504354,2.71409668584792,-34,46.908315565032,24.3714804443487,27.5840846847401,-116,51.9555651290888,51.6753536857781,97.2858538703724,52.8284244974287,69.6148359486448,50.0769625448948,6.55737704918033,4.56490727532097,90.728476821192,426,447,547,520
"23","PHI","20142015",142,125,-17,1158,1173,1070,1065,1896,1987,1376,1466,985,1054,73,80,915,926,695,760,680,2192.68333333333,47,48.8282255987638,51.8816366552398,54.371736304832,-91,106.253372960072,48.4166080225194,37.6524958004272,40.1152317176063,-90,77.7677275180335,48.3079941147621,26.9532764269046,28.8413739634086,-69,47.7124183006536,1.99755246615638,2.18909859304809,-7,49.7012493210212,25.0378151579875,25.3388162145317,-11,50.3766313725192,50.5454545454545,99.8210346853659,50.1170960187354,71.5843023255814,51.9514767932489,7.41116751269035,5.30523255813953,92.4098671726755,391,412,520,521
"24","MTL","20142015",132,120,-12,741,1040,1123,985,1887,1980,1344,1399,967,1008,86,71,900,956,631,766,711,2096.70833333333,44,48.7975174553918,53.9989268893702,56.6602412511675,-93,110.659168140538,48.9974480495808,38.4602849704895,40.0341805607997,-55,78.4944655312891,48.9620253164557,27.6719461059995,28.8452137278671,-41,54.7770700636943,2.46100037757596,2.03175612567318,15,48.4913793103448,25.754655114167,27.3571669879374,-56,53.1118221021045,47.0193740685544,101.84983421152,53.2732447817837,71.9494047619048,51.2453630100689,8.89348500517063,6.39880952380952,92.9563492063492,377,391,543,581
"25","N.J","20142015",136,124,-12,802,881,956,1057,1684,1792,1240,1374,895,1040,66,73,844,867,593,767,653,2191.64166666667,46,48.4464902186421,46.1024270238824,49.0591147427537,-108,95.1615417666361,47.4368783473604,33.9471552907448,37.6156382011962,-134,71.562793491941,46.2532299741602,24.5021806332392,28.4718076632053,-145,47.4820143884892,1.80686471708803,1.99850188405191,-7,49.3278784336645,23.1059669882166,23.7356319653836,-23,46.8415989536002,47.5922953451043,100.355070906747,47.4913065077,72.1774193548387,53.1472684085511,7.37430167597765,5.32258064516129,92.9807692307692,345,334,444,418
"26","CBJ","20142015",134,128,-6,1250,928,940,1028,1620,1884,1234,1426,884,1055,63,91,762,869,587,715,666,2004.94166666667,43,46.2328767123288,48.4802134725449,56.3806927051078,-264,104.860906177653,46.390977443609,36.9287552006916,42.6745582789192,-192,79.6033134796108,45.59051057246,26.454635006006,31.5719908725524,-171,40.9090909090909,1.88534163504341,2.72327125061826,-28,46.7198038013489,22.8036559667156,26.0057441405195,-107,48.809400107235,46.8475658419792,98.5011044155176,47.7642276422764,71.6369529983793,54.5679012345679,7.12669683257919,5.10534846029173,91.3744075829384,350,371,386,458
"27","TOR","20142015",124,132,8,1285,1255,1066,1114,1876,2280,1424,1718,1005,1194,87,96,967,1230,577,817,786,2179.86666666667,46,45.1395572666025,51.6361856994312,62.7561318735091,-404,114.39231757294,45.3214513049013,39.1950578017004,47.287295859074,-294,86.4823536607744,45.7025920873124,27.662242338981,32.864395375864,-189,47.5409836065574,2.39464187412074,2.64236344730565,-9,44.0145653163405,26.6163068077558,33.8552816686036,-263,60.4715884763594,42.3330887747616,100.616515412885,48.8990825688073,70.5758426966292,53.5714285714286,8.65671641791045,6.10955056179775,91.9597989949749,419,524,452,562
"28","CGY","20142015",100,133,33,977,783,1052,1188,1783,2238,1258,1515,897,1033,80,80,844,1053,656,780,804,2184.325,45,44.3422034319821,48.9762283542971,61.4743685120117,-455,110.450596866309,45.3660295708619,34.5552974030879,41.6146864592036,-257,76.1699838622916,46.4766839378238,24.6391905966374,28.3748984239983,-136,50,2.19747519256521,2.19747519256521,0,44.4913020558777,23.183363281563,28.9242672221396,-209,52.1076305037025,44.9315068493151,101.174183925983,46.9642857142857,71.3036565977742,50.3084688726865,8.91861761426979,6.35930047694754,92.2555663117135,361,482,525,723
"29","COL","20142015",139,121,-18,1041,861,1068,1108,1772,2247,1332,1656,1029,1196,85,85,863,1120,689,735,752,2183.2,46,44.090569793481,48.6991572004397,61.7533895199707,-475,110.45254672041,44.578313253012,36.6068156834005,45.5111762550385,-324,82.117991938439,46.247191011236,28.2795895932576,32.8691828508611,-167,50,2.33602052033712,2.33602052033712,0,43.5199193141705,23.717478930011,30.7805056797362,-257,54.4979846097472,47.8140180430257,101.153423624586,49.0808823529412,77.2522522522522,58.0699774266366,8.26044703595724,6.38138138138138,92.8929765886288,303,460,440,591
"30","BUF","20142015",137,117,-20,1162,834,987,1163,1488,2469,1119,1791,845,1296,63,105,733,1218,583,751,816,2272.40833333333,47,37.6042456406368,39.2887135161301,65.1907484350304,-981,104.47946195116,38.4536082474227,29.5457462530575,47.289036228084,-672,76.8347824811415,39.4675385333956,22.311130995383,34.219202094694,-451,37.5,1.66343343515873,2.77238905859789,-42,37.5704766786263,19.3539159995453,32.1597130797355,-485,51.5136290792808,41.6726233023588,99.3537694499233,45.906976744186,75.5138516532618,56.7876344086022,7.45562130177515,5.63002680965147,91.8981481481482,274,495,369,678
