Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA
1,Anaheim Ducks,,29,18,6,5,41,.707,85,79,0.22,0.01,5.66,17,100,17.00,18,96,81.25,2,3
2,Tampa Bay Lightning,,28,18,7,3,39,.696,98,72,0.84,-0.09,6.07,22,97,22.68,18,92,80.43,4,2
3,Detroit Red Wings,,28,17,6,5,39,.696,88,70,0.62,-0.02,5.64,24,110,21.82,13,101,87.13,0,2
4,Pittsburgh Penguins,,26,18,6,2,38,.731,85,60,0.95,-0.02,5.58,25,85,29.41,14,97,85.57,1,5
5,New York Islanders,,27,19,8,0,38,.704,86,74,0.47,0.03,5.93,20,99,20.20,22,80,72.50,5,0
6,Vancouver Canucks,,28,18,8,2,38,.679,87,78,0.24,-0.09,5.89,17,91,18.68,14,96,85.42,3,1
7,Chicago Blackhawks,,27,18,8,1,37,.685,85,53,1.29,0.10,5.11,20,108,18.52,7,79,91.14,2,4
8,Nashville Predators,,26,17,7,2,36,.692,70,54,0.67,0.05,4.77,9,78,11.54,14,69,79.71,0,2
9,St. Louis Blues,,27,17,8,2,36,.667,76,63,0.56,0.07,5.15,22,97,22.68,17,82,79.27,1,0
10,Montreal Canadiens,,29,17,10,2,36,.621,74,76,-0.04,0.03,5.17,11,76,14.47,17,105,83.81,2,0
11,Calgary Flames,,28,17,9,2,36,.643,89,72,0.57,-0.04,5.75,20,94,21.28,16,69,76.81,1,1
12,Winnipeg Jets,,28,14,9,5,33,.589,64,64,0.02,0.02,4.57,12,92,13.04,17,107,84.11,3,1
13,Los Angeles Kings,,27,14,8,5,33,.611,72,59,0.34,-0.14,4.85,15,90,16.67,15,96,84.38,5,0
14,San Jose Sharks,,29,14,11,4,32,.552,81,79,-0.10,-0.17,5.52,21,89,23.60,15,86,82.56,2,3
15,Toronto Maple Leafs,,26,14,9,3,31,.596,89,79,0.45,0.07,6.46,20,97,20.62,15,93,83.87,6,3
16,Boston Bruins,,28,15,12,1,31,.554,72,72,-0.13,-0.13,5.14,12,66,18.18,19,88,78.41,2,0
17,Minnesota Wild,,25,14,10,1,29,.580,71,61,0.32,-0.08,5.28,9,82,10.98,8,76,89.47,3,1
18,Florida Panthers,,25,11,7,7,29,.580,56,64,-0.53,-0.21,4.80,12,78,15.38,17,89,80.90,0,1
19,Washington Capitals,,26,12,10,4,28,.538,74,71,0.00,-0.11,5.58,20,71,28.17,19,77,75.32,0,0
20,Ottawa Senators,,27,11,11,5,27,.500,70,74,0.08,0.23,5.33,20,100,20.00,17,97,82.47,1,3
21,New York Rangers,,25,11,10,4,26,.520,73,73,0.12,0.12,5.84,13,82,15.85,16,83,80.72,2,4
22,Dallas Stars,,27,10,12,5,25,.463,79,95,-0.48,0.12,6.44,15,97,15.46,20,96,79.17,2,3
23,Colorado Avalanche,,27,9,12,6,24,.444,72,89,-0.56,0.08,5.96,12,88,13.64,13,95,86.32,2,1
24,New Jersey Devils,,27,10,13,4,24,.444,64,79,-0.45,0.11,5.30,17,82,20.73,26,101,74.26,1,3
25,Arizona Coyotes,,28,10,15,3,23,.411,66,90,-0.87,-0.02,5.57,19,93,20.43,21,90,76.67,2,3
26,Philadelphia Flyers,,26,9,13,4,22,.423,68,82,-0.52,0.02,5.77,21,90,23.33,22,91,75.82,0,2
27,Columbus Blue Jackets,,26,9,15,2,20,.385,61,88,-1.07,-0.03,5.73,21,96,21.88,22,93,76.34,1,1
28,Buffalo Sabres,,27,9,16,2,20,.370,47,85,-1.28,0.13,4.89,5,76,6.58,21,96,78.13,2,3
29,Carolina Hurricanes,,26,8,15,3,19,.365,58,74,-0.65,-0.03,5.08,17,83,20.48,11,71,84.51,1,1
30,Edmonton Oilers,,27,7,15,5,19,.352,60,91,-1.13,0.02,5.59,11,83,13.25,15,79,81.01,2,5
