"","teamname","TeamGoalFor","TeamGoalAgn","TeamShotFor","TeamShotAgn","FenwickFor","FenwickAgn","CorsiFor","CorsiAgn","GF1","GA1","SF1","SA1","FF1","FA1","CF1","CA1","GF2","GA2","SF2","SA2","FF2","FA2","CF2","CA2","GF3","GA3","SF3","SA3","FF3","FA3","CF3","CA3","TOI","ZSO","ZSN","ZSD","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","Games","season","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team"
"15","MIN",17,14,172,171,235,234,311,334,5,5,100,100,101,100,102,100,3,5,40,40,40,40,40,40,9,4,31,31,31,31,31,31,361.016666666667,121,103,127,183,168,29,28,107,139,6,"20142015",48.22,51.69,55.51,-23,107.2,50.11,39.06,38.89,1,77.95,50.15,28.59,28.42,1,54.84,2.83,2.33,3,48.79,101.7,52.14,73.19,55.31,9.88,7.23,91.81,63,63,76,100
"21","OTT",14,16,124,167,178,225,246,271,2,5,63,93,63,93,63,93,5,3,28,33,28,33,28,33,7,7,31,40,31,40,31,40,306.733333333333,102,98,102,138,164,21,24,115,105,5,"20142015",47.58,48.12,53.01,-25,101.13,44.17,34.82,44.01,-47,78.83,42.61,24.26,32.67,-43,46.67,2.74,3.13,-2,50,101.71,45.7,69.66,50.41,11.29,7.87,90.42,54,58,68,46
"27","TOR",20,21,178,193,261,281,349,380,7,5,98,108,100,108,101,108,6,5,42,32,42,32,42,32,7,10,34,52,34,52,34,52,360,140,124,138,221,181,23,28,176,204,6,"20142015",47.87,58.17,63.33,-31,121.5,48.15,43.5,46.83,-20,90.33,47.98,29.67,32.17,-15,48.78,3.33,3.5,-1,50.36,100.36,54.98,68.2,51,11.24,7.66,89.12,83,88,88,99
"9","COL",12,17,142,154,177,210,235,279,4,4,79,71,79,71,79,71,1,6,28,30,28,30,28,30,5,6,30,48,30,49,30,49,305,97,106,102,156,149,15,14,112,116,5,"20142015",45.72,46.23,54.89,-44,101.11,45.74,34.82,41.31,-33,76.13,47.97,27.93,30.3,-12,41.38,2.36,3.34,-5,48.74,97.41,51.15,80.23,60.43,8.45,6.78,88.96,35,56,58,69
"26","T.B",19,18,202,209,273,293,372,418,5,3,104,88,104,89,106,90,4,7,43,54,43,54,44,54,10,7,53,63,53,64,53,64,425,136,135,134,189,216,32,25,166,151,7,"20142015",47.09,52.52,59.01,-46,111.53,48.23,38.54,41.36,-20,79.91,49.15,28.52,29.51,-7,51.35,2.68,2.54,1,50.37,100.79,46.67,73.99,54.3,9.41,6.96,91.39,71,84,99,125
"6","CBJ",13,20,170,214,234,280,326,372,4,7,94,122,94,122,94,122,3,4,38,50,38,50,38,50,6,8,38,38,38,38,39,39,365,108,115,129,160,192,24,24,188,169,6,"20142015",46.7,53.59,61.15,-46,114.74,45.53,38.47,46.03,-46,84.49,44.27,27.95,35.18,-44,39.39,2.14,3.29,-7,45.57,98.3,45.45,72.65,52.15,7.65,5.56,90.65,64,66,92,92
"17","N.J",15,15,181,206,245,281,324,376,5,3,92,98,92,98,92,98,4,3,47,59,47,59,48,59,5,7,39,45,40,45,40,45,425,127,125,143,184,211,29,21,114,130,7,"20142015",46.29,45.74,53.08,-52,98.82,46.58,34.59,39.67,-36,74.26,46.77,25.55,29.08,-25,50,2.12,2.12,0,47.04,101.01,46.58,73.88,55.86,8.29,6.12,92.72,64,75,79,95
"10","DAL",21,22,188,226,275,330,381,441,4,5,80,112,80,114,80,116,6,4,60,61,60,61,60,61,10,11,44,48,44,49,44,49,420,145,166,166,230,247,30,27,140,145,7,"20142015",46.35,54.43,63,-60,117.43,45.45,39.29,47.14,-55,86.43,45.41,26.86,32.29,-38,48.84,3,3.14,-1,46.62,101.44,48.22,68.36,49.34,11.17,7.64,90.27,87,104,106,111
"13","FLA",19,15,187,198,256,283,328,392,2,2,107,105,107,106,107,107,10,3,44,46,44,46,44,46,7,8,34,41,34,41,34,41,375,110,118,149,181,196,20,21,128,154,6,"20142015",45.56,52.48,62.72,-64,115.2,47.5,40.96,45.28,-27,86.24,48.57,29.92,31.68,-11,55.88,3.04,2.4,4,42.47,102.58,48.01,73.05,57.01,10.16,7.42,92.42,69,85,72,109
"16","MTL",24,15,209,230,296,325,398,468,3,1,114,135,114,135,114,135,11,4,47,33,47,33,47,33,9,10,45,60,45,60,45,60,480,143,164,189,269,227,32,36,152,218,8,"20142015",45.96,49.75,58.5,-70,108.25,47.67,37,40.62,-29,77.62,47.61,26.12,28.75,-21,61.54,3,1.88,9,43.07,104.96,54.23,70.61,52.51,11.48,8.11,93.48,87,95,102,143
"2","ARI",19,20,214,250,302,359,434,516,7,3,118,125,118,125,118,126,5,7,48,62,48,62,48,63,6,10,44,61,46,61,46,61,488.266666666667,173,172,195,273,267,31,32,175,207,8,"20142015",45.68,53.33,63.41,-82,116.74,45.69,37.11,44.12,-57,81.23,46.12,26.3,30.72,-36,48.72,2.33,2.46,-1,47.01,100.88,50.56,70.86,49.31,8.88,6.29,92,88,109,132,157
"4","BUF",16,16,132,176,157,250,202,342,4,4,72,93,72,94,72,94,4,6,19,40,19,40,19,40,8,6,41,42,41,42,41,42,300,96,91,125,126,186,25,18,141,84,5,"20142015",37.13,40.4,68.4,-140,108.8,38.57,31.4,50,-93,81.4,42.86,26.4,35.2,-44,50,3.2,3.2,0,43.44,103.03,40.38,84.08,65.35,12.12,10.19,90.91,25,74,45,92
