Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA
1,Anaheim Ducks,,46,30,10,6,66,.717,133,121,0.22,-0.04,5.52,27,153,17.65,30,150,80.00,5,4
2,Nashville Predators,,44,30,10,4,64,.727,136,102,0.80,0.03,5.41,23,145,15.86,26,126,79.37,1,2
3,Tampa Bay Lightning,,47,29,14,4,62,.660,152,126,0.43,-0.13,5.91,32,169,18.93,28,149,81.21,4,5
4,New York Islanders,,45,30,14,1,61,.678,144,125,0.47,0.05,5.98,31,163,19.02,32,126,74.60,7,1
5,Detroit Red Wings,,46,26,11,9,61,.663,134,115,0.31,-0.10,5.41,43,171,25.15,23,157,85.35,1,4
6,St. Louis Blues,,45,28,13,4,60,.667,145,110,0.80,0.02,5.67,39,155,25.16,29,151,80.79,1,2
7,Montreal Canadiens,,44,28,13,3,59,.670,121,105,0.36,0.00,5.14,21,132,15.91,23,151,84.77,2,2
8,Winnipeg Jets,,47,25,14,8,58,.617,131,117,0.26,-0.04,5.28,28,160,17.50,32,193,83.42,7,3
9,Chicago Blackhawks,,45,28,15,2,58,.644,139,105,0.83,0.08,5.42,30,162,18.52,15,125,88.00,2,5
10,Pittsburgh Penguins,,44,26,12,6,58,.659,134,111,0.54,0.01,5.57,33,141,23.40,20,163,87.73,3,5
11,Washington Capitals,,45,24,13,8,56,.622,133,115,0.33,-0.07,5.51,32,133,24.06,31,150,79.33,1,1
12,New York Rangers,,43,26,13,4,56,.651,131,104,0.61,-0.01,5.47,26,132,19.70,23,134,82.84,4,5
13,San Jose Sharks,,46,24,16,6,54,.587,125,125,-0.06,-0.06,5.43,31,146,21.23,23,129,82.17,3,4
14,Boston Bruins,,46,24,16,6,54,.587,121,117,0.01,-0.07,5.17,19,109,17.43,27,146,81.51,4,0
15,Vancouver Canucks,,43,25,15,3,53,.616,121,109,0.26,-0.02,5.35,26,129,20.16,18,145,87.59,4,1
16,Calgary Flames,,45,24,18,3,51,.567,131,118,0.25,-0.04,5.53,26,150,17.33,26,107,75.70,3,2
17,Los Angeles Kings,,45,20,14,11,51,.567,126,120,0.07,-0.06,5.47,31,157,19.75,32,145,77.93,5,1
18,Florida Panthers,,43,20,13,10,50,.581,106,120,-0.48,-0.16,5.26,17,129,13.18,28,148,81.08,0,2
19,Dallas Stars,,45,21,17,7,49,.544,143,148,-0.05,0.06,6.47,25,161,15.53,32,153,79.08,4,5
20,Colorado Avalanche,,46,19,17,10,48,.522,121,132,-0.14,0.10,5.50,21,145,14.48,25,159,84.28,3,1
21,Toronto Maple Leafs,,46,22,21,3,47,.511,138,142,-0.01,0.08,6.09,31,161,19.25,26,149,82.55,6,6
22,Minnesota Wild,,44,20,19,5,45,.511,123,129,-0.12,0.02,5.73,22,150,14.67,21,132,84.09,4,3
23,Ottawa Senators,,44,18,18,8,44,.500,120,122,-0.02,0.03,5.50,27,158,17.09,27,161,83.23,4,4
24,Philadelphia Flyers,,46,18,21,7,43,.467,123,137,-0.33,-0.03,5.65,36,156,23.08,41,154,73.38,1,3
25,Columbus Blue Jackets,,43,19,21,3,41,.477,110,137,-0.58,0.05,5.74,36,146,24.66,33,159,79.25,1,2
26,New Jersey Devils,,46,16,22,8,40,.435,102,132,-0.54,0.12,5.09,27,131,20.61,34,162,79.01,2,5
27,Arizona Coyotes,,45,16,24,5,37,.411,104,150,-1.03,-0.01,5.64,31,142,21.83,37,153,75.82,2,3
28,Carolina Hurricanes,,45,15,25,5,35,.389,94,119,-0.51,0.05,4.73,23,136,16.91,15,119,87.39,2,1
29,Edmonton Oilers,,46,11,26,9,31,.337,104,154,-1.04,0.05,5.61,19,137,13.87,27,134,79.85,4,5
30,Buffalo Sabres,,47,14,30,3,31,.330,89,167,-1.58,0.08,5.45,13,131,9.92,42,160,73.75,5,8
