"","Team","Gm","season","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%","SCF%","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","CF%","C+/-","CF","CA","CF60","CA60","CP60","FF%","F+/-","FF60","FA60","FF","FA","FP60","MSF","MSA","BSF","BSA","SF%","S+/-","SF60","SA60","SF","SA","GF60","GA60","GF%","OSh%","OFenSh%","OSv%","OCOn%","OFOn%","FO%","FO_W","FO_L","ZSO","ZSN","ZSD","HIT","HIT-","PN","PN-","PenD","TOI"
"14","WSH",70,"20142015",127,116,11,51.1,109,70.1,8.1,92.4,51.5,100.5,52.5,52.4,137,1511,1374,27.2,24.7,51.8,51.1,137,3101,2964,55.7,53.3,109,51.4,126,40.4,38.1,2248,2122,78.5,672,594,853,842,50.8,48,28.3,27.5,1576,1528,2.3,2.1,52.3,8.1,5.6,92.4,50.8,70.1,51.5,1637,1539,1047,1181,948,1825,1802,213,191,-22,3338.7
"15","ANA",71,"20142015",135,127,8,51,109.5,68.2,8.3,92,52.1,100.3,50,52,111,1464,1353,25.8,23.8,49.6,51,124,3175,3051,55.9,53.7,109.5,51.3,118,41.7,39.6,2370,2252,81.3,753,667,805,799,50.5,32,28.4,27.9,1617,1585,2.4,2.2,51.5,8.3,5.7,92,50.9,68.2,52.1,1767,1626,1081,1229,1083,1824,1707,191,197,6,3410.4
"16","FLA",69,"20142015",119,123,-4,51,104,74.1,7.2,92.1,48.4,99.3,50.7,51.8,90,1312,1222,23.7,22.1,45.9,51,120,2932,2812,53.1,50.9,104,50.9,76,40.5,39.1,2236,2160,79.6,580,603,696,652,51.5,99,30,28.2,1656,1557,2.2,2.2,49.2,7.2,5.3,92.1,56.5,74.1,48.4,1589,1695,1068,1176,1040,1735,1740,170,202,32,3314.9
"17","S.J",69,"20142015",118,130,-12,50.4,114.7,69.4,7.3,92.1,51.5,99.4,47.4,50.3,21,1527,1506,27.2,26.8,54.1,50.4,53,3245,3192,57.8,56.9,114.7,50,-3,41.4,41.4,2322,2325,82.8,711,684,923,867,49.5,-30,28.7,29.2,1611,1641,2.1,2.3,47.6,7.3,5.1,92.1,49.6,69.4,51.5,1757,1654,1053,1188,1170,1558,1586,168,192,24,3366.5
"18","NYR",68,"20142015",146,109,37,50.3,110.1,73.7,8.7,93.3,46,101.9,50.3,50.3,18,1386,1368,25.1,24.8,49.8,50.3,38,3061,3023,55.4,54.7,110.1,50.2,21,41.4,41,2286,2265,82.4,602,647,775,758,51,66,30.5,29.3,1684,1618,2.6,2,57.3,8.7,6.4,93.3,55,73.7,46,1452,1703,1014,1138,1003,1469,1503,163,167,4,3315.2
"19","OTT",68,"20142015",129,119,10,50.3,110.5,73.3,8.3,93,48.7,101.3,48.8,51.5,83,1430,1347,26.9,25.3,52.2,50.3,32,2955,2923,55.6,55,110.5,48.4,-144,39.8,42.5,2115,2259,82.2,564,564,840,664,47.8,-144,29.2,31.9,1551,1695,2.4,2.2,52,8.3,6.1,93,52.5,73.3,48.7,1494,1573,957,1107,1003,1704,1579,202,193,-9,3191.2
"20","PHI",71,"20142015",114,119,-5,49.7,108.1,71.7,7.2,92.7,51.1,99.9,52.2,49.8,-14,1447,1461,25.5,25.7,51.2,49.7,-39,3052,3091,53.7,54.4,108.1,49.2,-75,38.6,39.9,2195,2270,78.6,621,643,857,821,49.2,-53,27.7,28.6,1574,1627,2,2.1,48.9,7.2,5.2,92.7,51.6,71.7,51.1,1686,1615,1122,1152,1027,1982,1988,203,179,-24,3410.3
"21","VAN",68,"20142015",124,128,-4,49.5,106.7,72.5,8,91.7,48.4,99.7,50.3,48.1,-110,1357,1467,25.1,27.1,52.1,49.5,-62,2859,2921,52.8,53.9,106.7,50.3,23,39.7,39.3,2150,2127,79,591,580,709,794,50.2,12,28.8,28.6,1559,1547,2.3,2.4,49.2,8,5.8,91.7,54.5,72.5,48.4,1511,1612,994,1147,982,1194,1453,204,181,-23,3250.2
"22","ARI",69,"20142015",90,152,-62,49.1,111.8,70.4,5.7,91,51.8,96.7,50.3,48.1,-112,1412,1524,25.3,27.3,52.6,49.1,-116,3062,3178,54.8,56.9,111.8,48.6,-132,40,42.4,2236,2368,82.5,661,683,826,810,48.3,-110,28.2,30.2,1575,1685,1.6,2.7,37.2,5.7,4,91,51.4,70.4,51.8,1726,1607,1064,1219,1050,1924,1941,184,185,1,3349.9
"23","MTL",69,"20142015",121,101,20,48.5,112.4,71.8,7.8,93.8,52.6,101.6,46.5,47.9,-122,1388,1510,25.1,27.3,52.4,48.5,-187,3013,3200,54.5,57.9,112.4,48.8,-102,39,40.8,2155,2257,79.8,607,623,858,943,48.6,-86,28,29.6,1548,1634,2.2,1.8,54.5,7.8,5.6,93.8,51.4,71.8,52.6,1763,1591,1001,1199,1154,1299,1745,184,174,-10,3317.1
"24","EDM",69,"20142015",103,166,-63,48,107.9,71.3,6.8,90.1,48.2,96.9,49.2,45.8,-246,1344,1590,23.6,27.9,51.6,48,-240,2949,3189,51.8,56,107.9,47.2,-250,37.2,41.6,2116,2366,78.8,607,696,833,823,47.5,-161,26.5,29.4,1509,1670,1.8,2.9,38.3,6.8,4.9,90.1,51.2,71.3,48.2,1579,1698,1005,1233,1039,1605,1618,179,174,-5,3413.9
"25","CBJ",69,"20142015",110,144,-34,47.2,105.8,73.3,7.3,91.5,48.4,98.8,47.6,48.6,-76,1327,1403,24.5,25.9,50.5,47.2,-316,2703,3019,50,55.8,105.8,47.1,-248,37.8,42.4,2046,2294,80.3,546,603,657,725,47,-191,27.7,31.3,1500,1691,2,2.7,43.3,7.3,5.4,91.5,55.5,73.3,48.4,1516,1617,955,1128,1050,1974,1528,215,198,-17,3244
"26","N.J",69,"20142015",103,104,-1,47,95.5,72.4,7.7,93.5,47.4,101.1,46.6,47.8,-114,1239,1353,22.4,24.4,46.8,47,-320,2483,2803,44.9,50.6,95.5,46.4,-284,33.5,38.6,1855,2139,72.2,512,546,628,664,45.7,-250,24.3,28.8,1343,1593,1.9,1.9,49.8,7.7,5.6,93.5,54.1,72.4,47.4,1428,1585,875,1134,1004,1237,1381,185,177,-8,3321.2
"27","TOR",70,"20142015",120,145,-25,46.5,112.5,71.5,7.8,91.8,48.7,99.6,45,44.8,-334,1442,1776,26.3,32.4,58.7,46.5,-436,2866,3302,52.3,60.2,112.5,46.2,-355,39.2,45.7,2149,2504,84.9,613,730,717,798,46.4,-238,28,32.4,1536,1774,2.2,2.6,45.3,7.8,5.6,91.8,53.6,71.5,48.7,1615,1701,954,1195,1167,1953,1873,197,202,5,3288.7
"28","CGY",69,"20142015",127,129,-2,44.3,111.9,71.2,9,92.2,48.7,101.2,45,45.1,-290,1336,1626,23.8,29,52.9,44.3,-714,2777,3491,49.6,62.3,111.9,45.6,-384,35.4,42.2,1982,2366,77.6,570,711,795,1125,46,-243,25.2,29.5,1412,1655,2.3,2.3,49.6,9,6.4,92.2,50.8,71.2,48.7,1648,1737,994,1176,1215,1462,1216,152,201,49,3361.7
"29","COL",69,"20142015",129,130,-1,43.6,109.9,75.5,8.7,92.6,50.7,101.3,46.3,44.4,-337,1323,1660,24.1,30.2,54.3,43.6,-773,2634,3407,47.9,62,109.9,44.4,-494,35.7,44.7,1960,2454,80.3,480,704,674,953,45.8,-270,26.9,31.8,1480,1750,2.3,2.4,49.8,8.7,6.6,92.6,56.2,75.5,50.7,1655,1609,990,1125,1149,1539,1305,193,181,-12,3296.9
"30","BUF",68,"20142015",92,143,-51,37,105.9,74.8,7.5,92.4,45.5,100,40,37,-746,1058,1804,19.2,32.8,52,37,-1514,2158,3672,39.2,66.7,105.9,38.2,-1012,29.6,48,1631,2643,77.6,411,757,527,1029,39.3,-666,22.2,34.2,1220,1886,1.7,2.6,39.1,7.5,5.6,92.4,56.5,74.8,45.5,1413,1693,811,1078,1217,1713,1261,194,163,-31,3303.9
