"","teamname","season","PN","PN-","HIT","HIT-","FO_W","FO_L","CF","CA","FF","FA","SF","SA","GF","GA","ZSO","ZSN","ZSD","TOI","Gm","CF%","CF60","CA60","C+/-","CP60","FF%","FF60","FA60","F+/-","FP60","SF%","SF60","SA60","S+/-","GF%","GF60","GA60","G+/-","ZSO%","PDO","FO%","OFOn%","OCOn%","OSh%","OFenSh%","OSv%","MSF","MSA","BSF","BSA"
"1","L.A","20142015",18,21,223,220,141,166,386,262,274,200,202,139,12,8,126,100,81,339.05,7,59.5679012345679,68.3085090694588,46.3648429435187,124,114.673352012977,57.8059071729958,48.4884235363516,35.3930098805486,74,83.8814334169002,59.2375366568915,35.7469399793541,24.5981418669813,63,60,2.12358059283292,1.41572039522194,4,60.8695652173913,100.185198375953,45.928338762215,73.7226277372263,52.3316062176166,5.94059405940594,4.37956204379562,94.2446043165468,72,61,112,62
"2","T.B","20142015",18,22,121,137,135,146,337,241,243,179,168,134,14,12,98,99,84,325.175,7,58.3044982698962,62.1819020527408,44.468363189052,96,106.650265241793,57.5829383886256,44.8373952487122,33.0283693395864,64,77.8657645882986,55.6291390728477,30.9986930114554,24.7251479972323,34,53.8461538461538,2.58322441762128,2.2141923579611,2,53.8461538461538,99.3781094527363,48.0427046263345,69.1358024691358,49.8516320474777,8.33333333333333,5.76131687242798,91.044776119403,75,45,94,62
"3","FLA","20142015",17,20,168,161,161,189,344,260,262,207,196,147,16,14,129,122,99,340.833333333333,7,56.953642384106,60.5574572127139,45.7701711491443,84,106.327628361858,55.863539445629,46.1222493887531,36.440097799511,55,82.5623471882641,57.1428571428571,34.5036674816626,25.8777506112469,49,53.3333333333333,2.81662591687042,2.46454767726161,2,56.5789473684211,98.6394557823129,46,74.8091603053435,56.9767441860465,8.16326530612245,6.10687022900763,90.4761904761905,66,60,82,53
"4","WPG","20142015",23,19,178,146,109,121,286,206,201,149,144,105,13,9,81,98,51,281.541666666667,6,58.130081300813,60.9501257954714,43.9011395589759,80,104.851265354447,57.4285714285714,42.8355779191949,31.7537368654728,52,74.5893147846677,57.8313253012048,30.6881752256919,22.3767944354003,39,59.0909090909091,2.77046026343052,1.91801095160574,4,61.3636363636364,100.456349206349,47.3913043478261,71.6417910447761,50.3496503496503,9.02777777777778,6.46766169154229,91.4285714285714,57,44,85,57
"5","DET","20142015",21,21,119,165,215,139,342,277,262,224,191,163,14,14,126,129,99,362.416666666667,8,55.2504038772213,56.6199126235916,45.8588181191078,65,102.478730742699,53.9094650205761,43.3754886180731,37.0843872154518,38,80.4598758335249,53.954802259887,31.6210623131754,26.985513911244,28,50,2.31777420096574,2.31777420096574,0,56,98.7408858767224,60.7344632768362,72.9007633587786,55.8479532163743,7.32984293193717,5.34351145038168,91.4110429447853,71,61,80,53
"6","CAR","20142015",10,16,105,138,126,142,299,265,200,187,139,122,6,11,97,99,72,295.025,6,53.0141843971631,60.8084060672824,53.8937378188289,34,114.702143886111,51.6795865633075,40.6745191085501,38.0306753664944,13,78.7051944750445,53.2567049808429,28.2687907804423,24.8114566562156,17,35.2941176470588,1.2202355732565,2.23709855097026,-5,57.396449704142,95.300153319967,47.0149253731343,69.5,46.4882943143813,4.31654676258993,3,90.983606557377,61,65,99,78
"7","CHI","20142015",19,12,101,161,189,155,343,317,246,255,177,192,17,10,115,122,107,350.766666666667,7,51.969696969697,58.6714815166778,54.2240805853844,26,112.895562102062,49.1017964071856,42.0792549653141,43.6187399030695,-9,85.6979948683835,47.9674796747967,30.2765371091894,32.8423453387817,-15,62.962962962963,2.90791599353796,1.71053881972821,7,51.8018018018018,104.396186440678,54.9418604651163,71.9512195121951,51.6034985422741,9.6045197740113,6.91056910569106,94.7916666666667,69,63,97,62
"8","ARI","20142015",16,15,188,174,165,135,289,270,206,202,136,151,6,16,101,110,89,297.875,6,51.6994633273703,58.2123373898447,54.3852287033151,19,112.59756609316,50.4901960784314,41.4939152328997,40.6882081409987,4,82.1821233738984,47.3867595818815,27.3940411246328,30.4154427192614,-15,27.2727272727273,1.20856063785145,3.22282836760386,-10,53.1578947368421,93.8157382158161,55,66.0194174757282,47.0588235294118,4.41176470588235,2.9126213592233,89.4039735099338,70,51,83,68
"9","EDM","20142015",12,17,194,194,160,174,283,267,194,193,134,140,8,12,110,121,103,363.425,7,51.4545454545455,46.7221572539038,44.080621861457,16,90.8027791153608,50.1291989664083,32.0286166334182,31.8635206713902,1,63.8921373048084,48.9051094890511,22.1228589117425,23.11343468391,-6,40,1.32076769622343,1.98115154433514,-4,51.6431924882629,97.3987206823028,47.9041916167665,69.0721649484536,47.3498233215548,5.97014925373134,4.12371134020619,91.4285714285714,60,53,89,74
"10","BOS","20142015",22,10,162,156,164,117,290,276,220,211,143,149,13,13,87,105,89,298.958333333333,6,51.2367491166078,58.2020905923345,55.3923344947735,14,113.594425087108,51.0440835266821,44.1533101045296,42.3470383275261,9,86.5003484320558,48.972602739726,28.6996515679443,29.9038327526132,-6,50,2.60905923344948,2.60905923344948,0,49.4318181818182,100.366076876144,58.3629893238434,65,49.3103448275862,9.09090909090909,5.90909090909091,91.2751677852349,77,62,70,65
