"","Team","Gm","season","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%","SCF%","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","CF%","C+/-","CF","CA","CF60","CA60","CP60","FF%","F+/-","FF60","FA60","FF","FA","FP60","MSF","MSA","BSF","BSA","SF%","S+/-","SF60","SA60","SF","SA","GF60","GA60","GF%","OSh%","OFenSh%","OSv%","OCOn%","OFOn%","FO%","FO_W","FO_L","ZSO","ZSN","ZSD","HIT","HIT-","PN","PN-","TOI"
"14","WSH",61,"20142015",114,103,11,51,108.6,70.2,8.4,92.2,51.4,100.6,52.4,52.3,117,1314,1197,27.1,24.7,51.7,51,102,2688,2586,55.4,53.3,108.6,51.1,86,39.9,38.2,1939,1853,78.1,577,532,749,733,50.8,41,28.1,27.2,1362,1321,2.3,2.1,52.5,8.4,5.9,92.2,50.7,70.2,51.4,1414,1337,905,1024,822,1584,1590,176,163,2913.2
"15","ANA",60,"20142015",114,109,5,51,110.1,68.1,8.4,91.8,52.2,100.2,50.3,51.8,88,1250,1162,26.1,24.3,50.3,51,102,2688,2586,56.1,54,110.1,51.3,98,41.8,39.7,2002,1904,81.5,639,572,686,682,50.6,31,28.4,27.8,1363,1332,2.4,2.3,51.1,8.4,5.7,91.8,50.7,68.1,52.2,1485,1362,912,1033,902,1538,1479,161,169,2874.9
"16","S.J",61,"20142015",107,120,-13,50.8,114,69.2,7.5,91.7,51.3,99.2,47.6,50.1,4,1330,1326,26.7,26.7,53.4,50.8,96,2883,2787,58,56,114,50.2,14,41.4,41.1,2058,2044,82.5,634,599,825,743,49.6,-21,28.6,29.1,1424,1445,2.2,2.4,47.1,7.5,5.2,91.7,49.4,69.2,51.3,1551,1470,932,1062,1027,1360,1425,144,168,2984.2
"17","DAL",60,"20142015",127,130,-3,50.6,117.8,68.8,8.8,90.9,51.2,99.7,50.8,51.7,97,1441,1344,30.6,28.6,59.2,50.6,65,2803,2738,59.6,58.2,117.8,51.2,102,44.6,42.4,2097,1995,87,655,565,706,743,50.2,12,30.7,30.4,1442,1430,2.7,2.8,49.4,8.8,6.1,90.9,51.4,68.8,51.2,1555,1481,949,1168,919,1081,1168,165,189,2822.1
"18","NYR",58,"20142015",130,102,28,50.3,108.2,73.6,9.3,92.5,46.2,101.8,50.9,50.8,37,1179,1142,25,24.2,49.2,50.3,28,2564,2536,54.4,53.8,108.2,49.9,-5,40.3,40.4,1899,1904,80.7,502,540,665,632,50.6,33,29.6,28.9,1397,1364,2.8,2.2,56,9.3,6.8,92.5,54.5,73.6,46.2,1235,1437,853,996,823,1269,1289,137,142,2828.7
"19","OTT",57,"20142015",106,107,-1,50.1,109.5,73.1,8.3,92.5,49.1,100.8,48.5,51.4,66,1179,1113,26.6,25.1,51.7,50.1,10,2434,2424,54.9,54.6,109.5,48.1,-142,39.5,42.7,1753,1895,82.2,472,465,681,529,47.3,-149,28.9,32.2,1281,1430,2.4,2.4,49.8,8.3,6,92.5,52.6,73.1,49.1,1245,1290,780,928,827,1449,1286,171,165,2662.4
"20","VAN",59,"20142015",105,108,-3,49.6,106.8,72.4,7.8,91.9,48.4,99.6,50.6,48.2,-88,1173,1261,25.1,27,52,49.6,-35,2481,2516,53,53.8,106.8,50.5,38,39.9,39.1,1869,1831,79.1,516,503,612,685,50.5,25,28.9,28.4,1353,1328,2.2,2.3,49.3,7.8,5.6,91.9,54.5,72.4,48.4,1311,1400,859,1013,839,994,1245,181,163,2807.4
"21","MTL",59,"20142015",107,88,19,49.4,112.1,72.1,8,93.6,52.8,101.6,46.8,48.9,-54,1213,1267,25.7,26.9,52.6,49.4,-62,2613,2675,55.4,56.7,112.1,49.6,-29,39.5,40.1,1861,1890,79.5,519,514,752,785,49.4,-34,28.5,29.2,1342,1376,2.3,1.9,54.9,8,5.7,93.6,51.4,72.1,52.8,1514,1351,867,1013,985,1057,1456,159,155,2829.2
"22","PHI",60,"20142015",99,103,-4,49.3,106.6,71.7,7.6,92.5,51,100.1,51.6,49.9,-7,1203,1210,25.1,25.2,50.3,49.3,-67,2526,2593,52.6,54,106.6,48.7,-95,38,40,1824,1919,78,517,546,702,674,48.8,-66,27.2,28.6,1307,1373,2.1,2.1,49,7.6,5.4,92.5,51.7,71.7,51,1427,1369,933,989,874,1649,1690,174,151,2880.5
"23","ARI",59,"20142015",82,132,-50,48.9,110.3,70.6,6.2,90.7,52.3,96.9,50.8,47.1,-143,1162,1305,24.4,27.4,51.8,48.9,-118,2568,2686,53.9,56.4,110.3,48.3,-134,39.1,41.9,1864,1998,81.1,548,581,704,688,48.2,-101,27.6,29.7,1316,1417,1.7,2.8,38.3,6.2,4.4,90.7,51.2,70.6,52.3,1488,1358,910,1053,883,1640,1645,156,163,2858.1
"24","EDM",61,"20142015",92,146,-54,48.4,107.3,71,6.9,90.1,49.1,97,49.2,45.7,-217,1165,1382,23.2,27.5,50.6,48.4,-168,2616,2784,52,55.3,107.3,47.4,-202,37.1,41.1,1868,2070,78.3,542,600,748,714,47.4,-144,26.4,29.2,1326,1470,1.8,2.9,38.7,6.9,4.9,90.1,50.7,71,49.1,1430,1480,899,1081,930,1410,1433,157,156,3018.8
"25","N.J",59,"20142015",87,90,-3,47.3,94.4,72.5,7.7,93.3,47.7,101,46.9,48.7,-56,1065,1121,22.6,23.8,46.4,47.3,-243,2099,2342,44.6,49.8,94.4,46.6,-225,33.3,38.1,1566,1791,71.3,431,445,533,551,45.7,-211,24.1,28.6,1135,1346,1.8,1.9,49.2,7.7,5.6,93.3,54.1,72.5,47.7,1234,1355,751,987,851,1014,1147,163,151,2823.8
"26","CBJ",58,"20142015",96,125,-29,46.3,106.3,73.3,7.7,91.4,47.9,99.1,47.3,47.8,-102,1101,1203,24.1,26.4,50.5,46.3,-359,2246,2605,49.2,57.1,106.3,46.4,-268,37.3,43.2,1704,1972,80.6,455,524,542,633,46.3,-199,27.4,31.7,1249,1448,2.1,2.7,43.4,7.7,5.6,91.4,55.6,73.3,47.9,1266,1375,798,954,889,1676,1327,174,167,2738.1
"27","TOR",60,"20142015",106,122,-16,46.5,112.7,70.8,8,92,48.5,99.9,44.4,45,-277,1247,1524,26.3,32.2,58.5,46.5,-376,2482,2858,52.4,60.3,112.7,46.6,-276,39.7,45.6,1882,2158,85.3,550,641,600,700,46.8,-185,28.1,32,1332,1517,2.2,2.6,46.5,8,5.6,92,53.7,70.8,48.5,1383,1466,805,1036,1008,1681,1648,165,169,2842.2
"28","CGY",59,"20142015",108,112,-4,44.7,111.6,70.4,9.1,91.9,48.3,101,45.2,45.5,-230,1150,1380,24.1,28.9,53,44.7,-564,2382,2946,49.9,61.7,111.6,45.7,-320,35.3,42,1685,2005,77.3,498,621,697,941,46.2,-197,24.9,29,1187,1384,2.3,2.3,49.1,9.1,6.4,91.9,49.8,70.4,48.3,1401,1501,857,1006,1039,1247,997,128,177,2864.4
"29","COL",60,"20142015",112,110,2,44.1,109.8,76,8.5,92.7,50.5,101.2,47,44.6,-280,1153,1433,24.2,30,54.2,44.1,-615,2312,2927,48.5,61.3,109.8,44.9,-391,36.3,44.5,1731,2122,80.8,416,609,581,805,46.5,-198,27.6,31.7,1315,1513,2.3,2.3,50.5,8.5,6.5,92.7,56.9,76,50.5,1434,1407,874,980,987,1369,1119,174,160,2862.6
"30","BUF",60,"20142015",76,126,-50,37,105.7,75,7.1,92.3,45.7,99.5,41,36.9,-664,934,1598,19.3,33,52.2,37,-1331,1897,3228,39.1,66.6,105.7,38.1,-894,29.4,47.8,1426,2320,77.3,356,673,471,908,39.4,-577,22.1,34,1070,1647,1.6,2.6,37.6,7.1,5.3,92.3,56.4,75,45.7,1255,1490,737,949,1059,1496,1090,172,145,2909.1
