"","teamname","season","PN","PN-","HIT","HIT-","FO_W","FO_L","CF","CA","FF","FA","SF","SA","GF","GA","ZSO","ZSN","ZSD","TOI","Gm","CF%","CF60","CA60","C+/-","CP60","FF%","FF60","FA60","F+/-","FP60","SF%","SF60","SA60","S+/-","GF%","GF60","GA60","G+/-","ZSO%","PDO","FO%","OFOn%","OCOn%","OSh%","OFenSh%","OSv%","MSF","MSA","BSF","BSA"
"18","MIN","20142015",8,19,82,79,131,129,210,216,152,160,101,130,9,15,80,93,87,238.416666666667,5,49.2957746478873,52.8486543166725,54.3586158685774,-6,107.20727018525,48.7179487179487,38.2523593149249,40.2656413841314,-8,78.5180006990563,43.7229437229437,25.417686123733,32.7158336246068,-29,37.5,2.26494232785739,3.77490387976232,-6,47.9041916167665,97.3724295506474,50.3846153846154,66.4473684210526,48.0952380952381,8.91089108910891,5.92105263157895,88.4615384615385,51,30,58,56
"19","N.J","20142015",15,20,89,101,116,114,179,203,136,150,104,115,4,7,71,82,77,284.283333333333,6,46.8586387434555,37.7792108811632,42.8445799378554,-24,80.6237908190186,47.5524475524476,28.7037579879228,31.6585566043267,-14,60.3623145922495,47.4885844748858,21.9499325789998,24.2715600633171,-11,36.3636363636364,0.844228176115378,1.47739930820191,-3,47.972972972973,97.7591973244147,50.4347826086956,76.4705882352941,58.1005586592179,3.84615384615385,2.94117647058824,93.9130434782609,32,35,43,53
"20","OTT","20142015",17,21,147,136,114,125,230,257,164,192,122,140,11,10,59,84,96,277.666666666667,6,47.2279260780287,49.6998799519808,55.5342136854742,-27,105.234093637455,46.0674157303371,35.438175270108,41.4885954381753,-28,76.9267707082833,46.5648854961832,26.3625450180072,30.2521008403361,-18,52.3809523809524,2.37695078031212,2.1608643457383,1,38.0645161290323,101.873536299766,47.6987447698745,74.390243902439,53.0434782608696,9.01639344262295,6.70731707317073,92.8571428571429,42,52,66,65
"21","PIT","20142015",21,18,174,162,128,146,241,275,180,206,136,153,9,11,82,103,89,271.933333333333,6,46.7054263565892,53.1747977445452,60.6766364304977,-34,113.851434175043,46.6321243523316,39.7156165726894,45.4523167443001,-26,85.1679333169895,47.0588235294118,30.0073547438098,33.758274086786,-17,45,1.98578082863447,2.42706545721991,-2,47.953216374269,99.4281045751634,46.7153284671533,75.5555555555556,56.4315352697095,6.61764705882353,5,92.8104575163399,44,53,61,69
"22","VAN","20142015",6,17,39,63,53,72,114,150,85,108,66,82,4,3,40,39,46,139.45,3,43.1818181818182,49.0498386518465,64.5392613840086,-36,113.589100035855,44.0414507772021,36.5722481176049,46.4682681964862,-23,83.0405163140911,44.5945945945946,28.3972750089638,35.2814628899247,-16,57.1428571428571,1.72104697024023,1.29078522768017,1,46.5116279069767,102.40206947524,42.4,77.6470588235294,57.8947368421053,6.06060606060606,4.70588235294118,96.3414634146341,19,26,29,42
"23","MTL","20142015",10,12,53,108,91,95,164,201,115,134,85,89,10,4,62,63,61,190.025,4,44.9315068493151,51.7826601762926,63.4653335087488,-37,115.247993685041,46.1847389558233,36.3110117089857,42.3102223391659,-19,78.6212340481516,48.8505747126437,26.838573871859,28.1015655834759,-4,71.4285714285714,3.15747927904223,1.26299171161689,6,50.4065040650407,107.270323859881,48.9247311827957,73.9130434782609,51.8292682926829,11.7647058823529,8.69565217391304,95.5056179775281,30,45,49,67
"24","EDM","20142015",17,11,130,137,108,106,222,260,160,176,106,129,9,17,54,96,64,245.775,5,46.0580912863071,54.1959108941105,63.4726884345438,-38,117.668599328654,47.6190476190476,39.0601159597193,42.9661275556912,-16,82.0262435154104,45.1063829787234,25.877326823314,31.4922184925236,-23,34.6153846153846,2.19713152273421,4.15013732072017,-8,45.7627118644068,95.3122714640924,50.4672897196262,66.25,47.7477477477477,8.49056603773585,5.625,86.8217054263566,54,47,62,84
"25","CAR","20142015",15,14,119,118,144,121,222,264,172,196,125,130,6,10,75,84,106,284.083333333333,6,45.679012345679,46.8876503373423,55.7582868876503,-42,102.645937224993,46.7391304347826,36.3273687298328,41.3963039014374,-24,77.7236726312702,49.0196078431373,26.4007040187738,27.4567321795248,-5,37.5,1.26723379290114,2.11205632150191,-4,41.4364640883978,97.1076923076923,54.3396226415094,72.6744186046512,56.3063063063063,4.8,3.48837209302326,92.3076923076923,47,66,50,68
"26","CGY","20142015",15,14,114,68,116,119,203,248,131,166,100,108,8,6,70,76,89,246.033333333333,5,45.0110864745011,49.5054870613738,60.479609808969,-45,109.985096870343,44.1077441077441,31.9468906652215,40.4823194689067,-35,72.4292101341282,48.0769230769231,24.3869394391004,26.3378945942284,-8,57.1428571428571,1.95095515512803,1.46321636634602,2,44.0251572327044,102.444444444444,49.3617021276596,76.3358778625954,49.2610837438424,8,6.10687022900763,94.4444444444444,31,58,72,82
"27","CBJ","20142015",15,16,173,102,111,120,177,228,142,180,113,135,9,13,72,93,66,243.5,5,43.7037037037037,43.6139630390144,56.1806981519507,-51,99.7946611909651,44.0993788819876,34.9897330595483,44.35318275154,-38,79.3429158110883,45.5645161290323,27.8439425051335,33.264887063655,-22,40.9090909090909,2.217659137577,3.20328542094456,-4,52.1739130434783,98.3349721402819,48.0519480519481,79.5774647887324,63.8418079096045,7.9646017699115,6.33802816901408,90.3703703703704,29,45,35,48
"28","COL","20142015",14,14,99,88,113,114,185,238,142,179,116,134,7,3,61,85,81,239.808333333333,5,43.7352245862884,46.286965284776,59.5475553393335,-53,105.83452062411,44.2367601246106,35.52837335372,44.7857664106752,-37,80.3141397643952,46.4,29.0231782326163,33.5267748549189,-18,70,1.75139868645098,0.750599437050422,4,42.9577464788732,103.795676788471,49.7797356828194,81.6901408450704,62.7027027027027,6.03448275862069,4.92957746478873,97.7611940298508,26,45,43,59
"29","TOR","20142015",15,18,148,128,119,131,198,287,153,226,105,156,11,11,55,91,104,242.808333333333,5,40.8247422680412,48.9274805230463,70.9201359096681,-89,119.847616432714,40.3693931398417,37.8075985859903,55.84651817277,-73,93.6541167587603,40.2298850574713,25.9463911864639,38.5489240484607,-51,50,2.71819336239146,2.71819336239146,0,34.5911949685535,103.424908424908,47.6,68.6274509803922,53.030303030303,10.4761904761905,7.18954248366013,92.948717948718,48,70,45,61
"30","BUF","20142015",20,17,145,120,127,133,186,277,149,196,120,151,10,15,63,103,94,282.766666666667,6,40.1727861771058,39.4671696333844,58.7763762819757,-91,98.2435459153601,43.1884057971015,31.6161735235176,41.589060473889,-47,73.2052339974066,44.280442804428,25.4626900860545,32.0405516916185,-31,40,2.12189084050454,3.18283626075681,-5,40.1273885350318,98.3995584988962,48.8461538461538,80.5369127516778,64.5161290322581,8.33333333333333,6.71140939597315,90.0662251655629,29,45,37,81
