Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA
1,Anaheim Ducks,,32,21,6,5,47,.734,95,83,0.29,-0.08,5.56,20,111,18.02,20,106,81.13,4,3
2,Chicago Blackhawks,,31,21,9,1,43,.694,95,61,1.19,0.09,5.03,21,118,17.80,8,88,90.91,2,4
3,St. Louis Blues,,30,20,8,2,42,.700,89,70,0.66,0.03,5.30,25,108,23.15,18,94,80.85,1,0
4,Pittsburgh Penguins,,29,19,6,4,42,.724,94,69,0.87,0.01,5.62,25,95,26.32,15,111,86.49,2,5
5,Detroit Red Wings,,31,17,7,7,41,.661,92,79,0.47,0.05,5.52,27,120,22.50,14,115,87.83,0,2
6,Tampa Bay Lightning,,31,19,9,3,41,.661,105,82,0.67,-0.07,6.03,23,106,21.70,19,102,81.37,4,2
7,Nashville Predators,,29,19,8,2,40,.690,78,57,0.67,-0.06,4.66,10,92,10.87,15,76,80.26,0,2
8,Montreal Canadiens,,31,19,10,2,40,.645,83,79,0.18,0.05,5.23,13,84,15.48,17,112,84.82,2,1
9,New York Islanders,,30,20,10,0,40,.667,96,87,0.39,0.09,6.10,22,110,20.00,25,88,71.59,5,0
10,Toronto Maple Leafs,,30,18,9,3,39,.650,103,85,0.71,0.11,6.27,23,111,20.72,17,104,83.65,6,3
11,San Jose Sharks,,32,17,11,4,38,.594,90,82,0.08,-0.17,5.38,23,95,24.21,15,93,83.87,2,3
12,Vancouver Canucks,,30,18,10,2,38,.633,89,86,0.02,-0.08,5.83,17,94,18.09,14,101,86.14,4,1
13,Winnipeg Jets,,31,15,10,6,36,.581,73,74,-0.06,-0.03,4.74,16,104,15.38,19,121,84.30,4,3
14,Calgary Flames,,32,17,13,2,36,.563,95,85,0.32,0.01,5.63,22,109,20.18,18,80,77.50,1,1
15,Los Angeles Kings,,31,15,10,6,36,.581,82,73,0.15,-0.14,5.00,16,103,15.53,19,108,82.41,5,1
16,Minnesota Wild,,28,16,11,1,33,.589,81,70,0.31,-0.08,5.39,12,92,13.04,11,87,87.36,3,1
17,Washington Capitals,,29,14,10,5,33,.569,85,79,0.08,-0.12,5.66,22,83,26.51,20,87,77.01,0,0
18,Boston Bruins,,30,15,13,2,32,.533,76,78,-0.10,-0.03,5.13,12,69,17.39,20,95,78.95,3,0
19,Florida Panthers,,28,12,8,8,32,.571,64,74,-0.52,-0.17,4.93,12,87,13.79,19,99,80.81,0,1
20,New York Rangers,,28,14,10,4,32,.571,84,77,0.37,0.12,5.75,13,87,14.94,16,87,81.61,2,4
21,Ottawa Senators,,29,12,12,5,29,.500,76,81,0.01,0.18,5.41,21,105,20.00,18,102,82.35,2,4
22,Colorado Avalanche,,30,10,13,7,27,.450,78,98,-0.55,0.12,5.87,13,100,13.00,16,110,85.45,2,1
23,Dallas Stars,,29,11,13,5,27,.466,85,103,-0.56,0.07,6.48,16,104,15.38,22,102,78.43,2,4
24,Philadelphia Flyers,,29,11,13,5,27,.466,79,87,-0.31,-0.04,5.72,24,100,24.00,26,100,74.00,1,2
25,New Jersey Devils,,31,11,15,5,27,.435,72,91,-0.54,0.08,5.26,20,89,22.47,27,115,76.52,1,4
26,Columbus Blue Jackets,,29,12,15,2,26,.448,71,95,-0.84,-0.01,5.72,25,108,23.15,24,107,77.57,1,2
27,Buffalo Sabres,,30,12,16,2,26,.433,56,91,-1.02,0.15,4.90,6,84,7.14,22,103,78.64,2,3
28,Arizona Coyotes,,30,10,16,4,24,.400,70,99,-1.00,-0.03,5.63,21,99,21.21,24,98,75.51,2,3
29,Edmonton Oilers,,31,7,19,5,19,.306,65,104,-1.25,0.01,5.45,12,93,12.90,18,87,79.31,2,5
30,Carolina Hurricanes,,29,8,18,3,19,.328,61,83,-0.82,-0.06,4.97,18,94,19.15,14,76,81.58,1,1
