"","teamname","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","Games","season","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team"
"20","NYR",202,238,27,28,170,200,396,413,301,307,224,225,22,19,146,146,148,436.733333333333,7,"20142015",48.95,54.4,56.74,-17,111.14,49.51,41.35,42.18,-6,83.53,49.89,30.77,30.91,-1,53.66,3.02,2.61,3,49.66,101.38,45.91,74.42,56.57,9.82,7.31,91.56,77,82,95,106
"10","DAL",248,231,30,28,136,131,435,453,310,328,220,225,15,22,168,146,165,419.766666666667,7,"20142015",48.99,62.18,64.75,-18,126.93,48.59,44.31,46.88,-18,91.19,49.44,31.45,32.16,-5,40.54,2.14,3.14,-7,50.45,97.04,51.77,70.97,50.57,6.82,4.84,90.22,90,103,125,125
"25","STL",240,207,30,29,126,145,355,374,274,276,205,206,23,13,134,135,178,424.733333333333,7,"20142015",48.7,50.15,52.83,-19,102.98,49.82,38.71,38.99,-2,77.7,49.88,28.96,29.1,-1,63.89,3.25,1.84,10,42.95,104.91,53.69,74.82,57.75,11.22,8.39,93.69,69,70,81,98
"27","TOR",241,206,26,30,228,246,414,449,321,327,227,244,24,22,149,134,164,424.783333333333,7,"20142015",47.97,58.48,63.42,-35,121.9,49.54,45.34,46.19,-6,91.53,48.2,32.06,34.46,-17,52.17,3.39,3.11,2,47.6,101.56,53.91,70.72,54.83,10.57,7.48,90.98,94,83,93,122
"22","PHI",173,162,24,19,147,122,280,316,192,239,138,176,18,15,96,110,129,299.875,5,"20142015",46.98,56.02,63.23,-36,119.25,44.55,38.42,47.82,-47,86.24,43.95,27.61,35.21,-38,54.55,3.6,3,3,42.67,104.52,51.64,71.88,49.29,13.04,9.38,91.48,54,63,88,77
"26","T.B",176,180,32,26,133,133,315,357,250,249,189,188,23,15,116,114,126,369.85,6,"20142015",46.88,51.1,57.92,-42,109.02,50.1,40.56,40.39,1,80.95,50.13,30.66,30.5,1,60.53,3.73,2.43,8,47.93,104.19,49.44,75.6,60,12.17,9.2,92.02,61,61,65,108
"6","CBJ",180,212,29,26,195,142,328,373,227,283,174,206,16,22,125,126,141,364.183333333333,6,"20142015",46.79,54.04,61.45,-45,115.49,44.51,37.4,46.62,-56,84.02,45.79,28.67,33.94,-32,42.11,2.64,3.62,-6,46.99,98.52,45.92,76.65,53.05,9.2,7.05,89.32,53,77,101,90
"7","CGY",170,215,21,19,134,138,308,358,225,258,152,177,22,21,109,134,142,364.191666666667,6,"20142015",46.25,50.74,58.98,-50,109.72,46.58,37.07,42.51,-33,79.57,46.2,25.04,29.16,-25,51.16,3.62,3.46,1,43.43,102.61,44.16,67.56,49.35,14.47,9.78,88.14,73,81,83,100
"2","ARI",227,230,30,34,160,205,389,450,268,320,188,228,18,15,164,140,153,424.841666666667,7,"20142015",46.36,54.94,63.55,-61,118.49,45.58,37.85,45.19,-52,83.04,45.19,26.55,32.2,-40,54.55,2.54,2.12,3,51.74,103,49.67,70.15,48.33,9.57,6.72,93.42,80,92,121,130
"9","COL",201,183,25,22,147,140,296,369,220,273,173,206,14,23,129,126,129,369.9,6,"20142015",44.51,48.01,59.85,-73,107.87,44.62,35.69,44.28,-53,79.97,45.65,28.06,33.41,-33,37.84,2.27,3.73,-9,50,96.93,52.34,78.64,58.45,8.09,6.36,88.83,47,67,76,96
"16","MTL",249,209,34,32,120,177,339,429,262,291,198,204,22,12,148,139,171,424.825,7,"20142015",44.14,47.88,60.59,-90,108.47,47.38,37,41.1,-29,78.1,49.25,27.96,28.81,-6,64.71,3.11,1.69,10,46.39,105.23,54.37,75.57,58.41,11.11,8.4,94.12,64,87,77,138
"4","BUF",164,219,31,25,185,105,267,401,219,313,176,225,14,24,122,118,143,364.65,6,"20142015",39.97,43.93,65.98,-134,109.91,41.17,36.03,51.5,-94,87.54,43.89,28.96,37.02,-49,36.84,2.3,3.95,-10,46.04,97.29,42.82,80.37,65.92,7.95,6.39,89.33,43,88,48,88
